Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.473 	0.0159 	3.37 	0.0154 	0.09 
2	Lab Blank	Unknown	4.490 	0.0155 	3.53 	0.0151 	0.08 
3	Lab Blank	Unknown	4.493 	0.0156 	3.53 	0.0151 	0.08 
4	Lab Blank	Unknown	4.497 	0.0163 	3.62 	0.0158 	0.09 
5	Standard 1	Calibration Standard	4.503 	0.7135 	9.66 	0.6906 	5.08 
6	Standard 2	Calibration Standard	4.497 	1.2518 	8.87 	1.2118 	8.59 
7	Standard 3	Calibration Standard	4.497 	2.2080 	7.82 	2.1372 	14.55 
8	Standard 4	Calibration Standard	4.467 	10.3085 	7.29 	9.9784 	61.10 
9	Standard 5	Calibration Standard	4.440 	19.8070 	7.02 	19.1727 	109.96 
10	Lab Blank	Unknown	4.523 	0.0115 	2.47 	0.0111 	0.06 
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_GCW_202306_UP_LysA_20cm	Unknown	4.517 	5.2274 	0.96 	0.1012 	0.36 
13	2_GCW_202306_UP_LysA_45cm	Unknown	4.503 	6.8195 	1.17 	0.1320 	0.48 
14	3_GCW_202306_UP_LysB_10cm	Unknown	4.507 	8.4999 	1.50 	0.1646 	0.69 
15	4_GCW_202306_UP_LysC_10cm	Unknown	4.493 	5.1459 	0.89 	0.0996 	0.30 
16	5_GCW_202306_UP_LysC_20cm	Unknown	4.493 	5.0887 	0.88 	0.0985 	0.30 
17	6_GCW_202306_TR_LysA_10cm	Unknown	4.503 	9.9516 	1.77 	0.1927 	0.89 
18	7_GCW_202306_TR_LysA_20cm	Unknown	4.493 	4.9808 	0.87 	0.0964 	0.28 
