Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
6	Standard 1	Calibration Standard	4.287 	0.0820 	9.52 	0.0734 	0.91 
7	Standard 2	Calibration Standard	4.327 	0.6505 	4.32 	0.5825 	4.33 
8	Standard 3	Calibration Standard	4.310 	1.7101 	5.65 	1.5314 	10.39 
9	Standard 4	Calibration Standard	4.273 	10.0162 	6.53 	8.9693 	49.92 
10	Standard 5	Calibration Standard	4.237 	20.0602 	6.55 	17.9633 	90.22 
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	1_MSM_UP_LysA_10cm	Unknown	4.317 	126.0804 	4.84 	1.3277 	8.82 
14	2_MSM_UP_LysB_10cm	Unknown	4.320 	103.5657 	5.43 	1.0906 	7.38 
15	3_MSM_UP_LysC_10cm	Unknown	4.317 	139.2101 	5.45 	1.4660 	9.60 
16	3_MSM_UP_LysC_10cm_dup	Unknown	4.317 	132.2175 	5.37 	1.3924 	9.15 
17	3_MSM_UP_LysC_10cm_spk	Unknown	4.310 	306.0948 	11.83 	3.2234 	19.66 
18	4_MSM_UP_LysA_20cm	Unknown	4.313 	180.9152 	5.43 	1.9052 	12.04 
19	5_MSM_UP_LysB_20cm	Unknown	4.320 	120.9210 	5.63 	1.2734 	8.39 
