Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.413 	0.5525 	6.21 	0.4551 	2.87 
2	Lab Blank	Unknown	4.417 	0.5520 	6.21 	0.4546 	2.87 
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Lab Blank	Unknown	4.423 	0.5525 	6.20 	0.4550 	2.87 
6	Standard 1	Calibration Standard	4.427 	1.1273 	6.27 	0.9285 	5.72 
7	Lab Blank	Unknown	4.427 	0.5552 	6.22 	0.4573 	2.89 
8	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
9	1_202209_MSM_UP_LysA_20cm	Unknown	4.417 	185.4786 	5.44 	3.0553 	17.63 
10	2_202209_MSM_UP_LysA_45cm	Unknown	4.420 	219.3885 	4.90 	3.6138 	20.28 
11	3_202209_MSM_UP_LysB_10cm	Unknown	4.423 	111.5232 	7.91 	1.8370 	10.24 
12	4_202209_MSM_UP_LysB_20cm	Unknown	4.423 	100.0613 	6.06 	1.6482 	9.20 
13	5_202209_MSM_UP_LysB_45cm	Unknown	4.410 	260.3050 	6.84 	4.2878 	23.49 
14	6_202209_MSM_TR_LysC_10cm	Unknown	4.423 	103.6062 	5.61 	1.7066 	9.45 
15	7_202209_MSM_UP_LysC_20cm	Unknown	4.417 	146.2420 	5.28 	2.4089 	13.40 
16	8_202209_MSM_UP_LysC_45cm	Unknown	4.403 	379.7760 	7.86 	6.2558 	33.61 
17	9_202209_MSM_TR_LysA_10cm	Unknown	4.393 	477.6392 	5.56 	7.8678 	42.32 
18	10_202209_MSM_TR_LysA_20cm	Unknown	4.397 	505.3590 	8.95 	8.3244 	43.96 
