"Sample_Name","Conc","Absorbance","Dilution","Unit","Test","Run_Time","NOx_flag","NH3_flag","PO4_flag"
"MSM_202305_RHZ_TR_SF_8",0.021967,0.172573,0,"mg N/L","Vanadium NOx","1/13/2024 12:34","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_1",0.019686,0.17083,0,"mg N/L","Vanadium NOx","1/13/2024 12:35","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_2",0.012321,0.165206,0,"mg N/L","Vanadium NOx","1/13/2024 12:37","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_3",0.018735,0.170104,0,"mg N/L","Vanadium NOx","1/13/2024 12:38","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_4",0.019166,0.170433,0,"mg N/L","Vanadium NOx","1/13/2024 12:39","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_5",0.022696,0.173129,0,"mg N/L","Vanadium NOx","1/13/2024 12:41","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_A",0.021848,0.172481,0,"mg N/L","Vanadium NOx","1/13/2024 12:42","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_B",0.016969,0.168756,0,"mg N/L","Vanadium NOx","1/13/2024 12:43","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_C",0.022677,0.173115,0,"mg N/L","Vanadium NOx","1/13/2024 12:47","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_1",0.043531,0.035597,0,"mg N/L","Ammonia 2","1/13/2024 20:20","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_2",0.05403,0.041137,0,"mg N/L","Ammonia 2","1/13/2024 20:30","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_3",0.048736,0.038343,0,"mg N/L","Ammonia 2","1/13/2024 20:36","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_4",0.060447,0.044522,0,"mg N/L","Ammonia 2","1/13/2024 20:38","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_5",0.053813,0.041022,0,"mg N/L","Ammonia 2","1/13/2024 20:41","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_6",0.097682,0.064169,0,"mg N/L","Ammonia 2","1/13/2024 20:44","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_7",0.105667,0.068382,0,"mg N/L","Ammonia 2","1/13/2024 20:46","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_8",0.03727,0.032294,0,"mg N/L","Ammonia 2","1/13/2024 20:49","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_1",0.174776,0.104846,0,"mg N/L","Ammonia 2","1/13/2024 20:52","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_2",0.139437,0.0862,0,"mg N/L","Ammonia 2","1/13/2024 20:54","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_3",0.084871,0.057409,0,"mg N/L","Ammonia 2","1/13/2024 21:02","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_4",0.112865,0.07218,0,"mg N/L","Ammonia 2","1/13/2024 21:08","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_5",0.28933,0.165288,0,"mg N/L","Ammonia 2","1/13/2024 21:13","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_6",0.118526,0.075167,0,"mg N/L","Ammonia 2","1/13/2024 21:16","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_7",0.127339,0.079817,0,"mg N/L","Ammonia 2","1/13/2024 21:18","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_8",0.245336,0.142076,0,"mg N/L","Ammonia 2","1/13/2024 21:21","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_1",0.16897,0.101782,0,"mg N/L","Ammonia 2","1/13/2024 21:24","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_2",0.156966,0.095449,0,"mg N/L","Ammonia 2","1/13/2024 21:26","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_3",0.164723,0.099542,0,"mg N/L","Ammonia 2","1/13/2024 21:34","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_4",0.25735,0.148415,0,"mg N/L","Ammonia 2","1/13/2024 21:37","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_5",0.212616,0.124811,0,"mg N/L","Ammonia 2","1/13/2024 21:40","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_A",0.26606,0.15301,0,"mg N/L","Ammonia 2","1/13/2024 21:42","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_B",0.257347,0.148413,0,"mg N/L","Ammonia 2","1/13/2024 21:48","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_C",0.285582,0.16331,0,"mg N/L","Ammonia 2","1/13/2024 21:53","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_1",0.008483,0.003374,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:08","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_2",0.00447,0.001635,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:14","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_3",0.007069,0.002761,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:17","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_4",0.033742,0.014322,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:18","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_5",0.00695,0.002709,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:19","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_6",0.008597,0.003424,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:21","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_7",0.005573,0.002113,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:22","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_UP_SF_8",0.003677,0.001291,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:23","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_1",0.003567,0.001243,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:25","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_2",0.007533,0.002962,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:26","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_3",0.004356,0.001585,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:30","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_4",0.003672,0.001289,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:33","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_5",0.005018,0.001872,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:35","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_6",0.003828,0.001357,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:37","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_7",0.004079,0.001465,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:38","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_TR_SF_8",0.00695,0.00271,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:40","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_1",0.004888,0.001816,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:41","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_2",0.011646,0.004745,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:42","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_3",0.003679,0.001292,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:46","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_4",0.017864,0.00744,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:48","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Col_5",0.006948,0.002709,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:49","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_A",0.005132,0.001921,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:50","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_B",0.009664,0.003886,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:53","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
"MSM_202305_RHZ_WC_Sip_C",0.020825,0.008724,0,"mg P/L","o-PHOS 0.3","1/13/2024 23:56","NOx reduction efficiency low","NH3 r2 low","PO4 r2 low"
