"Sample_Name","Conc","Absorbance","Dilution","Unit","Test","Run_Time"
"MSM_202311_UP_RHZ_SF_2",0.00932,0.140953,0,"mg N/L","Vanadium NOx","2/5/2024 12:36"
"MSM_202311_UP_RHZ_SF_4",0.009511,0.141104,0,"mg N/L","Vanadium NOx","2/5/2024 12:38"
"MSM_202311_UP_RHZ_SF_6",0.034618,0.16084,0,"mg N/L","Vanadium NOx","2/5/2024 12:39"
"MSM_202311_UP_RHZ_SF_7",0.0041,0.136849,0,"mg N/L","Vanadium NOx","2/5/2024 12:41"
"MSM_202311_TR_RHZ_SF_1",0.357848,0.414155,0,"mg N/L","Vanadium NOx","2/5/2024 12:42"
"MSM_202311_TR_RHZ_SF_2",0.008919,0.140638,0,"mg N/L","Vanadium NOx","2/5/2024 12:49"
"MSM_202311_TR_RHZ_SF_3",0.09391,0.207417,0,"mg N/L","Vanadium NOx","2/5/2024 12:50"
"MSM_203211_TR_RHZ_SF_5",0.063446,0.183492,0,"mg N/L","Vanadium NOx","2/5/2024 12:51"
"MSM_202311_TR_RHZ_SF_6",0.029142,0.156537,0,"mg N/L","Vanadium NOx","2/5/2024 12:53"
"MSM_202311_TR_RHZ_SF_7",0.005709,0.138114,0,"mg N/L","Vanadium NOx","2/5/2024 12:54"
"MSM_202311_TR_RHZ_SF_8",0.25001,0.329804,0,"mg N/L","Vanadium NOx","2/5/2024 12:55"
"MSM_202311_WC_RHZ_Col_1",0.016404,0.146524,0,"mg N/L","Vanadium NOx","2/5/2024 12:57"
"MSM_202311_WC_RHZ_Col_2",0.004667,0.137295,0,"mg N/L","Vanadium NOx","2/5/2024 12:58"
"MSM_202311_WC_RHZ_Col_3",0.015755,0.146013,0,"mg N/L","Vanadium NOx","2/5/2024 12:59"
"MSM_202311_WC_RHZ_Col_4",0.015282,0.145641,0,"mg N/L","Vanadium NOx","2/5/2024 13:01"
"MSM_202311_TR_RHZ_SF_4",0.010459,0.141849,0,"mg N/L","Vanadium NOx","2/5/2024 13:07"
"MSM_202311_WC_RHZ_Col_5",0.01021,0.141653,0,"mg N/L","Vanadium NOx","2/5/2024 13:09"
"MSM_202311_WC_RHZ_Sip_A",0.016868,0.146888,0,"mg N/L","Vanadium NOx","2/5/2024 13:10"
"MSM_202311_WC_RHZ_Sip_C",0.016347,0.146478,0,"mg N/L","Vanadium NOx","2/5/2024 13:11"
"MSM_202311_UP_RHZ_SF_2",0.097449,0.067204,0,"mg N/L","Ammonia 2","2/5/2024 15:57"
"MSM_202311_UP_RHZ_SF_4",0.030559,0.03173,0,"mg N/L","Ammonia 2","2/5/2024 16:05"
"MSM_202311_UP_RHZ_SF_6",0.146188,0.093052,0,"mg N/L","Ammonia 2","2/5/2024 16:07"
"MSM_202311_UP_RHZ_SF_7",0.119571,0.078936,0,"mg N/L","Ammonia 2","2/5/2024 16:10"
"MSM_202311_TR_RHZ_SF_1",1.161871,0.631707,0,"mg N/L","Ammonia 2","2/5/2024 16:15"
"MSM_202311_TR_RHZ_SF_2",0.471628,0.265645,0,"mg N/L","Ammonia 2","2/5/2024 16:21"
"MSM_202311_TR_RHZ_SF_3",0.816191,0.44838,0,"mg N/L","Ammonia 2","2/5/2024 16:23"
"MSM_203211_TR_RHZ_SF_5",1.238482,0.672337,0,"mg N/L","Ammonia 2","2/5/2024 16:26"
"MSM_202311_TR_RHZ_SF_6",0.893839,0.48956,0,"mg N/L","Ammonia 2","2/5/2024 16:29"
"MSM_202311_TR_RHZ_SF_7",0.734107,0.404847,0,"mg N/L","Ammonia 2","2/5/2024 16:37"
"MSM_202311_TR_RHZ_SF_8",0.735043,0.405344,0,"mg N/L","Ammonia 2","2/5/2024 16:39"
"MSM_202311_WC_RHZ_Col_1",0.371045,0.212302,0,"mg N/L","Ammonia 2","2/5/2024 16:42"
"MSM_202311_WC_RHZ_Col_2",0.832109,0.456822,0,"mg N/L","Ammonia 2","2/5/2024 16:45"
"MSM_202311_WC_RHZ_Col_3",0.348457,0.200323,0,"mg N/L","Ammonia 2","2/5/2024 16:47"
"MSM_202311_WC_RHZ_Col_4",0.85918,0.471178,0,"mg N/L","Ammonia 2","2/5/2024 16:53"
"MSM_202311_TR_RHZ_SF_4",0.426575,0.241752,0,"mg N/L","Ammonia 2","2/5/2024 16:58"
"MSM_202311_WC_RHZ_Col_5",0.927764,0.507551,0,"mg N/L","Ammonia 2","2/5/2024 17:01"
"MSM_202311_WC_RHZ_Sip_A",0.281344,0.16473,0,"mg N/L","Ammonia 2","2/5/2024 17:09"
"MSM_202311_WC_RHZ_Sip_C",1.240374,0.67334,0,"mg N/L","Ammonia 2","2/5/2024 17:11"
"MSM_202311_UP_RHZ_SF_2",0.005029,0.001709,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:38"
"MSM_202311_UP_RHZ_SF_4",0.004853,0.001635,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:42"
"MSM_202311_UP_RHZ_SF_6",0.004476,0.001476,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:43"
"MSM_202311_UP_RHZ_SF_7",0.007096,0.002581,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:44"
"MSM_202311_TR_RHZ_SF_1",0.005972,0.002107,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:47"
"MSM_202311_TR_RHZ_SF_2",0.009056,0.003408,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:50"
"MSM_202311_TR_RHZ_SF_3",0.00658,0.002364,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:51"
"MSM_203211_TR_RHZ_SF_5",0.008944,0.003361,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:53"
"MSM_202311_TR_RHZ_SF_6",0.007279,0.002658,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:54"
"MSM_202311_TR_RHZ_SF_7",0.004916,0.001662,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:58"
"MSM_202311_TR_RHZ_SF_8",0.007082,0.002575,0,"mg P/L","o-PHOS 0.3","2/5/2024 18:59"
"MSM_202311_WC_RHZ_Col_1",0.010879,0.004177,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:01"
"MSM_202311_WC_RHZ_Col_2",0.039457,0.016232,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:02"
"MSM_202311_WC_RHZ_Col_3",0.018079,0.007214,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:03"
"MSM_202311_WC_RHZ_Col_4",0.037021,0.015204,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:06"
"MSM_202311_TR_RHZ_SF_4",0.007306,0.00267,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:09"
"MSM_202311_WC_RHZ_Col_5",0.027216,0.011069,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:10"
"MSM_202311_WC_RHZ_Sip_A",0.005953,0.002099,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:14"
"MSM_202311_WC_RHZ_Sip_C",0.036397,0.014942,0,"mg P/L","o-PHOS 0.3","2/5/2024 19:16"
"MSM_202311_TR_RHZ_SF_1",0.913109,0.257651,2,"mg N/L","Ammonia 2","2/5/2024 19:45"
