Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
6	Standard 1	Calibration Standard	3.35	4.5551	95.13	5.0373	48.95
7	Standard 2	Calibration Standard	3.347	9.5805	93.86	10.5946	99.61
8	Standard 3	Calibration Standard	3.343	19.3242	92.27	21.3696	197.95
9	Standard 4	Calibration Standard	3.327	101.6757	92.74	112.4376	1001.34
10	Standard 5	Calibration Standard	3.327	199.2618	92.74	220.3527	1869.75
11	Lab Blank	Unknown	3.347	0.0356	48.84	0.0394	0.05
12	Lab Blank	Unknown	3.347	0.0252	15.94	0.0278	0.04
13	1_GWI_202411_UP_LysA_20cm	Unknown	3.337	4806.6608	84.15	53.1542	478.79
14	2_GWI_202411_UP_LysA_45cm	Unknown	3.33	8363.4366	87.09	92.4867	826.51
15	3_GWI_202411_UP_LysB_10cm	Unknown	3.333	6236.6504	85.94	68.9677	618
16	4_GWI_202411_UP_LysB_20cm	Unknown	3.337	5418.4171	85.27	59.9193	538.12
17	5_GWI_202411_UP_LysB_45cm	Unknown	3.333	5867.5021	85.28	64.8855	582.6
18	6_GWI_202411_UP_LysC_20cm	Unknown	3.33	7685.3359	87.33	84.9879	759.25
19	7_GWI_202411_TR_LysA_10cm	Unknown	3.327	12036.2573	87.82	133.1024	1182.95
20	8_GWI_202411_TR_LysA_20cm	Unknown	3.33	11294.133	89.96	124.8956	1110.21
