Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	5.313	0.0355	20.35	0.0738	0.14
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	5.413	4.6851	93.34	9.7361	55.82
6	Standard 2	Calibration Standard	5.44	10.1453	93.65	21.0827	121.47
7	Standard 3	Calibration Standard	5.417	20.4557	93.49	42.5087	230.49
8	Standard 4	Calibration Standard	5.397	101.3073	93.06	210.5249	1153.61
9	Standard 5	Calibration Standard	5.403	199.3014	92.97	414.1649	2240.37
10	Lab Blank	Unknown	5.397	0.0149	29.42	0.0311	0.1
11	Lab Blank	Unknown	5.44	0.1257	37.56	0.2612	0.45
12	1_SWH_202406_UP_LysA_10cm	Unknown	5.44	6.7358	1.84	0.28	1.72
13	2_SWH_202406_UP_LysA_20cm	Unknown	5.44	6.4981	1.7	0.2701	1.67
14	3_SWH_202406_UP_LysA_45cm	Unknown	5.46	4.9825	1.36	0.2071	1.29
15	4_SWH_202406_UP_LysB_10cm	Unknown	5.49	8.4974	2.06	0.3532	2.22
16	5_SWH_202406_UP_LysB_20cm	Unknown	5.457	4.6609	1.57	0.1937	1.23
17	6_SWH_202406_UP_LysB_45cm	Unknown	5.42	5.5054	1.5	0.2288	1.43
18	7_SWH_202406_UP_LysC_10cm	Unknown	5.417	6.2066	1.68	0.258	1.6
19	8_SWH_202406_UP_LysC_20cm	Unknown	5.42	5.4982	1.49	0.2285	1.42
20	9_SWH_202406_UP_LysC_45cm	Unknown	5.447	5.1666	1.38	0.2147	1.38
