Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.667	0.3745	5.69	0.324	2.5
6	Standard 2	Calibration Standard	4.657	0.8916	6.71	0.7714	5.61
7	Standard 3	Calibration Standard	4.647	1.9038	7.09	1.6471	11.36
8	Standard 4	Calibration Standard	4.603	10.1142	7.25	8.7502	54.83
9	Standard 5	Calibration Standard	4.563	19.9611	7.21	17.2691	97.33
10	Lab Blank	Unknown	5.047	0.022	20.29	0.019	0.02
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_SWH_202410_UP_LYSA_10cm	Unknown	4.667	20.2274	3.19	0.35	2.21
13	2_SWH_202410_UP_LYSA_20cm	Unknown	4.667	21.7398	3.62	0.3762	2.42
14	3_SWH_202410_UP_LYSA_45cm	Unknown	4.673	13.1077	2.27	0.2268	1.36
15	4_SWH_202410_UP_LYSB_10cm	Unknown	4.657	39.025	4.38	0.6752	4.68
16	5_SWH_202410_UP_LYSB_20cm	Unknown	4.667	14.3121	2.04	0.2476	1.74
17	6_SWH_202410_UP_LYSB_45cm	Unknown	4.653	0.8934	0.17	0.0155	0.11
18	7_SWH_202410_UP_LYSC_10cm	Unknown	4.657	33.9245	4.3	0.587	4.07
19	8_SWH_202410_UP_LYSC_20cm	Unknown	4.667	19.0123	2.71	0.329	2.28
20	9_SWH_202410_UP_LYSC_45cm	Unknown	5.063	0.4185	0.07	0.0072	0.03
