Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	7.013	0.0057	14.48	0.0089	0.01
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	7.023	0.4835	6.71	0.7521	3.22
6	Standard 2	Calibration Standard	6.997	0.9998	6.85	1.5553	6.63
7	Standard 3	Calibration Standard	6.993	2.01	6.95	3.1268	13.1
8	Standard 4	Calibration Standard	6.957	10.0719	7.03	15.6681	59.72
9	Standard 5	Calibration Standard	6.91	19.9635	7.05	31.0557	110.06
10	Lab Blank	Unknown	7.01	0.0082	6.44	0.0127	0.05
11	Lab Blank	Unknown	7.027	0.0247	33.09	0.0384	0.03
12	1_GCW_202405_UP_LysA_20cm	Unknown	7.06	1.1524	0.27	0.0359	0.14
13	2_GCW_202405_UP_LysB_10cm	Unknown	7.027	2.2661	0.49	0.0705	0.27
14	3_GCW_202405_UP_LysB_20cm	Unknown	6.983	2.291	0.53	0.0713	0.29
15	4_GCW_202405_TR_LysA_20cm	Unknown	6.973	6.7775	1.27	0.2109	0.87
16	5_GCW_202405_TR_LysA_45cm	Unknown	6.967	9.1524	2.16	0.2848	1.19
17	6_GCW_202405_TR_LysB_10cm	Unknown	6.96	9.6555	1.86	0.3004	1.26
18	7_GCW_202405_TR_LysB_20cm	Unknown	6.947	17.8331	3.3	0.5548	2.33
19	8_GCW_202405_TR_LysB_45cm	Unknown	6.943	5.3897	1.21	0.1677	0.69
20	9_GCW_202405_TR_LysC_10cm	Unknown	6.947	6.8708	1.28	0.2138	0.89
