Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	3.870 	0.0065 	24.90 	0.0104 	0.05 
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.900 	5.0808 	93.10 	8.1547 	64.88 
6	Standard 2	Calibration Standard	3.893 	10.1597 	93.08 	16.3065 	129.27 
7	Standard 3	Calibration Standard	3.837 	19.7522 	92.98 	31.7024 	250.22 
8	Standard 4	Calibration Standard	3.863 	100.7635 	92.94 	161.7260 	1250.56 
9	Standard 5	Calibration Standard	3.833 	199.6330 	93.01 	320.4124 	2329.03 
10	Lab Blank	Unknown	3.873 	0.0206 	100.00 	0.0331 	0.24 
11	Lab Blank	Unknown	3.913 	0.0065 	100.00 	0.0105 	0.07 
12	1_MSM_202308_UP_LysA_20cm	Unknown	3.913 	1634.4984 	78.75 	52.4676 	407.87 
13	2_MSM_202308_UP_LysA_45cm	Unknown	3.870 	2096.2117 	83.02 	67.2887 	522.96 
14	3_MSM_202308_UP_LysB_10cm	Unknown	3.913 	490.8198 	56.49 	15.7554 	118.90 
15	4_MSM_202308_UP_LysB_45cm	Unknown	3.903 	1532.7686 	77.89 	49.2021 	383.01 
16	5_MSM_202308_UP_LysC_10cm	Unknown	3.853 	565.0347 	60.24 	18.1377 	138.97 
17	6_MSM_202308_UP_LysC_20cm	Unknown	3.887 	1079.1902 	74.70 	34.6422 	257.06 
18	7_MSM_202308_UP_LysC_45cm	Unknown	3.873 	1891.7621 	81.88 	60.7258 	476.01 
