Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.040 	4.9368 	93.52 	8.2828 	64.04 
6	Standard 2	Calibration Standard	4.030 	10.0322 	93.15 	16.8317 	127.41 
7	Standard 3	Calibration Standard	4.050 	19.5854 	93.05 	32.8598 	249.18 
8	Standard 4	Calibration Standard	n.a.	n.a.	n.a.	n.a.	n.a.
9	Standard 5	Calibration Standard	4.060 	200.0414 	93.05 	335.6233 	2328.43 
10	Lab Blank	Unknown	4.043 	0.0184 	100.00 	0.0309 	0.29 
11	Lab Blank	Unknown	4.040 	0.0071 	100.00 	0.0119 	0.07 
12	1_MSM_202310_UP_LysA_20cm	Unknown	4.063 	2514.5857 	85.22 	84.3779 	631.13 
13	2_MSM_202310_UP_LysA_45cm	Unknown	4.023 	1846.9028 	81.24 	61.9735 	463.50 
14	3_MSM_202310_UP_LysB_10cm	Unknown	4.067 	757.6396 	70.53 	25.4229 	174.76 
15	4_MSM_202310_UP_LysB_45cm	Unknown	4.030 	1568.3973 	77.81 	52.6282 	392.06 
16	5_MSM_202310_UP_LysC_10cm	Unknown	4.020 	983.8201 	74.98 	33.0125 	232.90 
17	6_MSM_202310_UP_LysC_20cm	Unknown	4.053 	841.6390 	69.99 	28.2415 	197.55 
18	7_MSM_202310_UP_LysC_45cm	Unknown	4.023 	1746.7746 	80.25 	58.6137 	437.22 
