Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	5.000 	0.0009 	4.50 	0.0011 	0.01 
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.993 	0.4693 	6.61 	0.5731 	3.70 
6	Standard 2	Calibration Standard	5.020 	0.9856 	6.87 	1.2036 	7.51 
7	Standard 3	Calibration Standard	4.987 	1.9624 	6.99 	2.3965 	14.75 
8	Standard 4	Calibration Standard	4.977 	10.1532 	7.04 	12.3993 	68.08 
9	Standard 5	Calibration Standard	4.927 	19.9287 	6.93 	24.3373 	127.22 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	76_SWH_202309_WC_LysA_10cm	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	77_SWH_202309_WC_LysA_20cm	Unknown	5.007 	0.8748 	0.04 	0.0214 	0.14 
14	78_SWH_202309_WC_LysA_45cm	Unknown	4.997 	84.0746 	2.69 	2.0535 	12.72 
15	79_SWH_202309_WC_LysB_10cm	Unknown	5.007 	1.0155 	0.03 	0.0248 	0.16 
16	80_SWH_202309_WC_LysB_20cm	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
17	80_SWH_202309_WC_LysB_20cm_dup	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
18	81_SWH_202309_WC_LysB_45cm	Unknown	4.983 	0.8900 	0.05 	0.0217 	0.14 
19	81_SWH_202309_WC_LysB_45cm_spk	Spiked	5.017 	90.5492 	4.94 	2.2116 	13.46 
