Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	3.910 	0.0064 	100.00 	0.0105 	0.07 
2	Lab Blank	Unknown	3.900 	0.0129 	88.96 	0.0211 	0.07 
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.950 	4.9511 	93.39 	8.0938 	63.84 
6	Standard 2	Calibration Standard	3.920 	9.9749 	93.13 	16.3066 	126.89 
7	Standard 3	Calibration Standard	3.950 	19.5114 	92.98 	31.8963 	248.17 
8	Standard 4	Calibration Standard	3.913 	100.0713 	92.94 	163.5922 	1238.17 
9	Standard 5	Calibration Standard	3.957 	200.0157 	93.04 	326.9770 	2331.90 
10	Lab Blank	Unknown	3.953 	0.0164 	100.00 	0.0267 	0.26 
11	Lab Blank	Unknown	3.950 	0.0106 	94.47 	0.0173 	0.09 
12	76_SWH_202309_WC_LysA_10cm	Unknown	3.960 	1905.8898 	85.74 	62.3133 	480.25 
13	77_SWH_202309_WC_LysA_20cm	Unknown	3.927 	1458.8772 	81.08 	47.6982 	364.85 
14	78_SWH_202309_WC_LysA_45cm	Unknown	3.960 	1946.3615 	83.35 	63.6365 	490.83 
15	79_SWH_202309_WC_LysB_10cm	Unknown	3.930 	2526.1496 	89.03 	82.5928 	634.43 
16	80_SWH_202309_WC_LysB_20cm	Unknown	3.980 	1415.1307 	81.18 	46.2679 	354.98 
17	80_SWH_202309_WC_LysB_20cm_dup	Unknown	3.970 	1348.3927 	80.95 	44.0859 	338.57 
18	81_SWH_202309_WC_LysB_45cm	Unknown	3.960 	1112.2282 	79.25 	36.3644 	265.44 
