Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.787 	0.0102 	1.22 	0.0126 	0.06 
2	Lab Blank	Unknown	4.463 	0.0113 	1.39 	0.0139 	0.01 
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	4.793 	0.0082 	1.00 	0.0102 	0.04 
5	Standard 1	Calibration Standard	4.827 	0.4524 	6.61 	0.5582 	3.71 
6	Standard 2	Calibration Standard	4.797 	0.9445 	6.83 	1.1653 	7.83 
7	Standard 3	Calibration Standard	4.797 	1.8742 	6.96 	2.3123 	15.17 
8	Standard 4	Calibration Standard	4.773 	9.6621 	7.04 	11.9207 	70.85 
9	Standard 5	Calibration Standard	4.743 	20.1855 	7.04 	24.9042 	136.55 
10	Lab Blank	Unknown	4.690 	0.0112 	1.41 	0.0139 	0.07 
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_GCW_202307_UP_LysA_20cm	Unknown	4.833 	8.3626 	1.50 	0.2064 	0.55 
13	2_GCW_202307_UP_LysB_10cm	Unknown	4.863 	11.7348 	2.13 	0.2896 	1.04 
14	3_GCW_202307_UP_LysB_20cm	Unknown	4.823 	8.9804 	1.72 	0.2216 	0.67 
15	4_GCW_202307_UP_LysC_20cm	Unknown	4.847 	5.6530 	1.09 	0.1395 	0.31 
16	5_GCW_202307_TR_LysA_20cm	Unknown	4.817 	8.8034 	1.53 	0.2172 	0.61 
17	6_GCW_202307_TR_LysA_45cm	Unknown	4.830 	18.6434 	3.28 	0.4600 	2.03 
18	7_GCW_202307_TR_LysB_10cm	Unknown	4.830 	16.6885 	2.72 	0.4118 	1.80 
