Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.177	0.4612	6.67	0.4171	3.5
6	Standard 2	Calibration Standard	4.177	0.952	6.84	0.861	7.12
7	Standard 3	Calibration Standard	4.173	1.9466	6.96	1.7607	14.21
8	Standard 4	Calibration Standard	4.133	10.0129	7.06	9.0563	65.38
9	Standard 5	Calibration Standard	4.097	20.0023	7.1	18.0914	116.29
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Standard 1	Check Standard	4.18	0.4626	6.59	0.4184	3.51
13	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
14	12_GCW_202305_TR_LysC_20cm	Unknown	4.18	3.418	0.67	0.0618	0.52
15	13_GCW_202305_TR_LysC_45cm	Unknown	4.18	16.4178	2.72	0.297	2.49
16	14_GCW_202305_WC_LysA_10cm	Unknown	4.153	500.9219	11.26	4.5307	34.9
17	15_GCW_202305_WC_LysA_20cm	Unknown	4.153	499.5899	6.55	4.5186	34.9
18	16_GCW_202305_WC_LysA_45cm	Unknown	4.17	208.7718	3.6	1.8883	15.07
19	17_GCW_202305_WC_LysB_10cm	Unknown	4.157	407.0352	6.38	3.6815	28.75
20	18_GCW_202305_WC_LysB_20cm	Unknown	4.153	477.8621	6.64	4.3221	33.46
21	19_GCW_202305_WC_LysB_45cm	Unknown	4.167	302.1698	4.21	2.733	21.63
