Machine,User,Run_Date,Sample_Type,Type1,Sample_Year,Sample_Month,Sample_ID,Dilution_Factor,STD_Conc,CO2_Area,CH4_Area,Lab_Notes,Field_Notes
Varian GC,Wegner,20240710,Blank,Blank,2024,NA,Blank_04,1,0,30628,333,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,Blank_0_repeatforCH4,1,0,30628,333,,
Varian GC,Wegner,20240710,STD_CO2,STDs,2024,NA,Blank_0_repeatforCO2,1,0,30628,333,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_1ppm_CH4,1,1,0,659,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_2.5ppm_CH4,1,2.5,84376,1631,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_5ppm_CH4,1,5,165368,3150,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_10ppm_CH4,1,10,322876,6085,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_25ppm_CH4,1,25,845164,16097,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_50ppm_CH4,1,50,1662317,31597,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_100ppm_CH4,1,100,0,62626,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_250ppm_CH4,1,250,0,157153,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_500ppm_CH4,1,500,0,316492,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_2500ppm_CH4,1,2500,0,1616807,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_5000ppm_CH4,1,5000,0,3156145,,
Varian GC,Wegner,20240710,STD_CH4,STDs,2024,NA,STD_10000ppm_CH4,1,10000,0,5898504,,
Varian GC,Wegner,20240710,Blank,Blank,2024,NA,Blank_01,1,0,15306,2191,,
Varian GC,Wegner,20240710,STD_CO2,STDs,2024,NA,STD_125ppm_CO2,1,125,24384,482,,
Varian GC,Wegner,20240710,STD_CO2,STDs,2024,NA,STD_500ppm_CO2,1,500,86596,347,,
Varian GC,Wegner,20240710,STD_CO2,STDs,2024,NA,STD_2500ppm_CO2,1,2500,423770,234,,
