Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.05,0.043,0.051,2.608,2.7,2.683,0.056,0.053,0.052,0.058,0.06,0.055,670
B,0.149,0.167,0.145,2.655,2.686,2.652,0.055,0.055,0.072,0.08,0.079,0.077,670
C,0.26,0.343,0.264,0.094,0.099,0.1,0.143,0.147,0.124,0.051,0.058,0.07,670
D,0.459,0.488,0.465,0.06,0.051,0.053,0.082,0.082,0.082,1.242,1.042,1.034,670
E,0.803,0.918,0.779,0.051,0.05,0.061,0.105,0.104,0.099,1.24,1.056,0.991,670
F,1.346,1.186,1.367,0.055,0.054,0.055,0.11,0.113,0.111,1.872,1.767,1.715,670
G,1.397,1.324,1.473,0.057,0.057,0.056,0.061,0.056,0.056,1.716,1.479,1.271,670
H,1.348,1.346,1.302,0.058,0.053,0.059,0.254,0.205,0.222,1.24,1.122,1.011,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,MSM_WC_LysC_10cm_redo,,,GCW_UP_LysB_20cm,,,GCW_TR_LysC_10cm,,,
B,Std 1,Std 1,Std 1,MSM_WC_LysC_20cm_redo,,,GCW_UP_LysC_20cm,,,GCW_TR_LysC_20cm,,,
C,Std 2,Std 2,Std 2,MSM_WC_LysC_45cm,,,GCW_TR_LysA_20cm,,,GCW_TR_LysC_45cm,,,
D,Std 3,Std 3,Std 3,MSM_SW_A,,,GCW_TR_LysA_45cm,,,GCW_WC_LysA_10cm,,,
E,Std 4,Std 4,Std 4,MSM_SW_B,,,GCW_TR_LysB_10cm,,,GCW_WC_LysA_20cm,,,
F,Std 5,Std 5,Std 5,MSM_SW_C,,,GCW_TR_LysB_10cm_dup,,,GCW_WC_LysA_45cm,,,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GCW_UP_LysA_20cm,,,GCW_TR_LysB_45cm,,,GCW_WC_LysB_10cm,,,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GCW_UP_LysB_10cm,,,GCW_TR_LysB_45cm_spk,,,GCW_WC_LysB_20cm,,,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,25,25,25,
E,1,1,1,1,1,1,1,1,1,25,25,25,
F,1,1,1,1,1,1,1,1,1,25,25,25,
G,1,1,1,1,1,1,1,1,1,25,25,25,
H,1,1,1,1,1,1,1,1,1,25,25,25,
