Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.047,0.057,0.05,3.033,2.916,2.789,0.057,0.053,0.054,0.184,0.173,0.174,670
B,0.126,0.137,0.129,0.051,0.052,0.055,0.083,0.082,0.081,0.597,0.57,0.593,670
C,0.252,0.238,0.283,0.053,0.051,0.055,0.061,0.056,0.058,0.059,0.056,0.064,670
D,0.514,0.512,0.519,0.054,0.053,0.054,0.071,0.073,0.072,0.132,0.135,0.131,670
E,0.948,0.827,1.007,0.05,0.051,0.051,0.202,0.194,0.19,0.534,0.502,0.537,670
F,1.47,1.359,1.802,0.054,0.052,0.054,0.052,0.054,0.054,0.302,0.342,0.313,670
G,1.363,1.193,1.3,0.08,0.08,0.079,0.053,0.056,0.054,2.598,2.815,2.596,670
H,1.335,1.392,1.357,0.052,0.052,0.05,0.053,0.054,0.052,2.73,2.995,2.728,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,NA,NA,NA,MSM_TR_LysB_10cm,MSM_TR_LysB_10cm,MSM_TR_LysB_10cm,
B,Std 1,Std 1,Std 1,GCW_SW_A,GCW_SW_A,GCW_SW_A,NA,NA,NA,MSM_TR_LysB_20cm,MSM_TR_LysB_20cm,MSM_TR_LysB_20cm,
C,Std 2,Std 2,Std 2,GCW_SW_B,GCW_SW_B,GCW_SW_B,NA,NA,NA,MSM_TR_LysB_45cm,MSM_TR_LysB_45cm,MSM_TR_LysB_45cm,
D,Std 3,Std 3,Std 3,GCW_SW_C,GCW_SW_C,GCW_SW_C,NA,NA,NA,MSM_TR_LysC_10cm,MSM_TR_LysC_10cm,MSM_TR_LysC_10cm,
E,Std 4,Std 4,Std 4,MSM_UP_LysA_20cm,MSM_UP_LysA_20cm,MSM_UP_LysA_20cm,NA,NA,NA,MSM_TR_LysC_20cm,MSM_TR_LysC_20cm,MSM_TR_LysC_20cm,
F,Std 5,Std 5,Std 5,MSM_UP_LysA_45cm,MSM_UP_LysA_45cm,MSM_UP_LysA_45cm,NA,NA,NA,MSM_TR_LysC_45cm,MSM_TR_LysC_45cm,MSM_TR_LysC_45cm,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_UP_LysB_10cm,MSM_UP_LysB_10cm,MSM_UP_LysB_10cm,NA,NA,NA,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_UP_LysB_10cm_dup,MSM_UP_LysB_10cm_dup,MSM_UP_LysB_10cm_dup,NA,NA,NA,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
