Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.048,0.05,0.049,1.369,1.579,1.488,0.071,0.071,0.072,0.781,0.684,0.588,670
B,0.129,0.138,0.18,1.352,1.194,1.137,0.079,0.078,0.079,2.468,2.619,2.661,670
C,0.302,0.299,0.258,1.14,1.08,1.05,0.057,0.053,0.054,2.452,2.538,2.498,670
D,0.5,0.461,0.444,1.163,1.084,0.997,0.057,0.055,0.06,2.636,2.385,2.384,670
E,0.885,0.934,0.892,0.049,0.052,0.053,0.06,0.057,0.056,1.44,1.315,1.232,670
F,1.13,1.109,1.227,0.053,0.054,0.056,0.059,0.055,0.061,1.282,1.483,1.273,670
G,1.335,1.418,1.431,0.058,0.058,0.061,0.059,0.056,0.061,2.513,2.441,2.41,670
H,1.458,1.331,1.487,0.057,0.052,0.052,0.323,0.322,0.303,1.598,3.297,2.24,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,GCW_WC_LysB_45cm,,,MSM_TR_RHZ_SF_2,,,MSM_WC_RHZ_Col_1,,,
B,Std 1,Std 1,Std 1,GCW_WC_LysC_10cm,,,MSM_TR_RHZ_SF_3,,,MSM_WC_RHZ_Col_2_redo,,,
C,Std 2,Std 2,Std 2,GCW_WC_LysC_20cm,,,MSM_TR_RHZ_SF_4,,,MSM_WC_RHZ_Col_3_redo,,,
D,Std 3,Std 3,Std 3,GCW_WC_LysC_45cm,,,MSM_TR_RHZ_SF_5,,,MSM_WC_RHZ_Col_4_redo,,,
E,Std 4,Std 4,Std 4,GCW_SW_A,,,MSM_TR_RHZ_SF_6,,,MSM_WC_RHZ_Col_5,,,
F,Std 5,Std 5,Std 5,GCW_SW_B,,,MSM_TR_RHZ_SF_6_dup,,,MSM_WC_RHZ_SipA,,,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_TR_RHZ_SF_1,,,MSM_TR_RHZ_SF_7,,,MSM_WC_RHZ_SipB_redo,,,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GCW_SW_C,,,MSM_TR_RHZ_SF_7_spk,,,MSM_WC_RHZ_SipC_redo,,,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
