Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.048,0.048,0.049,0.056,0.052,0.054,0.104,0.089,0.097,0.27,0.271,0.25,670
B,0.151,0.133,0.122,0.049,0.054,0.051,0.054,0.055,0.053,0.131,0.148,0.159,670
C,0.26,0.281,0.291,0.053,0.054,0.053,0.107,0.104,0.107,2.781,2.842,2.738,670
D,0.481,0.517,0.499,0.059,0.058,0.056,0.35,0.34,0.338,2.829,2.723,2.789,670
E,0.908,0.881,0.842,0.053,0.053,0.053,0.056,0.058,0.057,0.119,0.108,0.108,670
F,1.529,1.521,1.371,0.052,0.053,0.052,0.064,0.058,0.058,2.813,2.642,2.761,670
G,1.55,1.508,1.491,0.057,0.058,0.057,0.089,0.088,0.087,2.8,2.875,2.54,670
H,1.569,1.352,1.497,0.075,0.079,0.077,0.26,0.263,0.293,0.194,0.167,0.173,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,GWI_SW_A,,,MSM_TR_LysA_20cm,,,MSM_TR_LysC_20cm,,,
B,Std 1,Std 1,Std 1,MSM_UP_LysA_45cm,,,MSM_TR_LysA_45cm,,,MSM_TR_LysC_45cm,,,
C,Std 2,Std 2,Std 2,MSM_UP_LysB_10cm,,,MSM_TR_LysB_10cm,,,MSM_WC_LysA_10cm_redo,,,
D,Std 3,Std 3,Std 3,MSM_UP_LysB_45cm,,,MSM_TR_LysB_20cm,,,MSM_WC_LysA_20cm_redo,,,
E,Std 4,Std 4,Std 4,MSM_UP_LysC_10cm,,,MSM_TR_LysB_45cm,,,MSM_WC_LysA_45cm,,,
F,Std 5,Std 5,Std 5,MSM_UP_LysC_20cm,,,MSM_TR_LysB_45cm_dup,,,MSM_WC_LysB_10cm_redo,,,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_UP_LysC_45cm,,,MSM_TR_LysC_10cm,,,MSM_WC_LysB_20cm_redi,,,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_TR_LysA_10cm,,,MSM_TR_LysC_10cm_spk,,,MSM_WC_LysB_45cm,,,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
