"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","202209","MSM","UP","LysA","20cm","1","1_202209_MSM_UP_LysA_20cm",185.4786,2155.4837,5.78535870243294,60.8034894217207,3.8949850459
"2","10","202209","MSM","TR","LysA","20cm","10","10_202209_MSM_TR_LysA_20cm",505.359,3550.8813,15.7629132875858,100.165904090268,6.4164685091
"3","100","202209","MSM","WC","RHZ","6","100","100_202209_MSM_WC_RHZ_6",794.4041,8421.2656,24.7786681222707,237.55333145275,15.2172529392
"4","101","202209","MSM","WC","RHZ","7","101","101_202209_MSM_WC_RHZ_7",815.7621,8675.4857,25.4448565190268,244.72456135402,15.6766286599
"5","102","202209","MSM","WC","RHZ","8","102","102_202209_MSM_WC_RHZ_8",872.0692,8465.1766,27.2011603243918,238.792005641749,15.2966001162
"6","103","202209","GWI","TR","RHZ","SF","1","103_202209_GWI_TR_RHZ_SF_1",951.8538,6184.0232,29.6897629444791,174.443531734838,11.1745559224
"7","104","202209","GWI","TR","RHZ","SF","2","104_202209_GWI_TR_RHZ_SF_2",928.5007,6415.1454,28.9613443543356,180.96319887165,11.5921937378
"8","105","202209","GWI","TR","RHZ","SF","3","105_202209_GWI_TR_RHZ_SF_3",958.8354,6292.7754,29.9075296319401,177.511294781382,11.3710711478
"9","106","202209","GWI","TR","RHZ","SF","4","106_202209_GWI_TR_RHZ_SF_4",859.4663,6218.3502,26.808056768559,175.411853314527,11.2365848114
"10","107","202209","GWI","TR","RHZ","SF","5","107_202209_GWI_TR_RHZ_SF_5",944.5056,6921.1279,29.4605614472863,195.236330042313,12.5065041153
"11","108","202209","GWI","TR","RHZ","SF","6","108_202209_GWI_TR_RHZ_SF_6",1001.515,6691.502,31.2387710542732,188.758871650212,12.091570114
"12","109","202209","GWI","TR","RHZ","SF","7","109_202209_GWI_TR_RHZ_SF_7",927.5268,6420.4224,28.9309669369931,181.112056417489,11.6017292768
"13","11","202209","MSM","TR","LysA","45cm","11","11_202209_MSM_TR_LysA_45cm",505.958,4102.3381,15.7815970056145,115.721808180536,7.4129509467
"14","110","202209","GWI","TR","RHZ","SF","8","110_202209_GWI_TR_RHZ_SF_8",962.0158,6500.2561,30.0067311291329,183.364064880113,11.7459887727
"15","12","202209","MSM","TR","LysB","10cm","12","12_202209_MSM_TR_LysB_10cm",554.2428,5302.4598,17.2876731129133,149.5757348378,9.5815708586
"16","13","202209","MSM","TR","LysB","20cm","13","13_202209_MSM_TR_LysB_20cm",401.4114,4386.958,12.5206300686213,123.750578279267,7.927259106
"17","14","202209","MSM","TR","LysC","10cm","14","14_202209_MSM_TR_LysC_10cm",528.2071,5217.3394,16.4755801621959,147.174595204513,9.4277582958
