"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","MSM","UP","A",20,"202407_MSM_UP_LysA_20cm",2024,7,18,"","",30.35,2526.85038714512,"",0.9968,71.165942013465,"","8/1/2024 7:36:03 AM","Couple of samples are above the top standard.",""
"2","COMPASS: Synoptic","CB","MSM","UP","A",45,"202407_MSM_UP_LysA_45cm",2024,7,18,"","",23.91,1990.67521438681,"",1.886,134.649846145059,"","8/1/2024 8:03:21 AM","Couple of samples are above the top standard.",""
"3","COMPASS: Synoptic","CB","MSM","UP","B",10,"202407_MSM_UP_LysB_10cm",2024,7,18,"","",29.54,2459.41220547831,"",0.8969,64.033641043215,"","8/1/2024 8:31:26 AM","Couple of samples are above the top standard.",""
"4","COMPASS: Synoptic","CB","MSM","UP","B",45,"202407_MSM_UP_LysB_45cm",2024,7,18,"","",23.24,1934.89301473649,"",1.223,87.3153562223793,"","8/1/2024 8:48:00 AM","Couple of samples are above the top standard.",""
"5","COMPASS: Synoptic","CB","MSM","UP","C",10,"202407_MSM_UP_LysC_10cm",2024,7,18,"","",33.15,2759.97002747482,"",0.9247,66.0184054773787,"","8/1/2024 9:16:30 AM","Couple of samples are above the top standard.",""
"6","COMPASS: Synoptic","CB","MSM","UP","C",20,"202407_MSM_UP_LysC_20cm",2024,7,18,"","",26.98,2246.27424860545,"",0.8438,60.2425981851542,"","8/1/2024 9:43:53 AM","Couple of samples are above the top standard.",""
"7","COMPASS: Synoptic","CB","MSM","UP","C",45,"202407_MSM_UP_LysC_45cm",2024,7,18,"","",22.93,1909.08334027142,"",2.069,147.715022096568,"","8/1/2024 10:11:01 AM","Couple of samples are above the top standard.",""
"8","COMPASS: Synoptic","CB","SWH","UP","A",10,"202407_SWH_UP_LysA_10cm",2024,7,23,"","",11.64,969.111647656315,"",0.5614,40.0808184654487,"","8/1/2024 8:23:36 PM","Couple of samples are above the top standard.",""
"9","COMPASS: Synoptic","CB","SWH","UP","A",20,"202407_SWH_UP_LysA_20cm",2024,7,23,"","",10.47,871.700940804263,"",0.4694,33.5125332876409,"","8/1/2024 10:12:12 PM","Couple of samples are above the top standard.",""
"10","COMPASS: Synoptic","CB","SWH","UP","A",45,"202407_SWH_UP_LysA_45cm",2024,7,23,"","",15.64,1302.13970527017,"",0.5888,42.0370251379697,"","8/1/2024 10:38:24 PM","Couple of samples are above the top standard.",""
