"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","SWH","SWAMP","A",10,"SWH_202511_UP_LYSA_10CM",2025,11,5,"10:25","EST",7.8721,0.245542732376793,"Within_Range","",63.4854,1.79084344146685,"Within_Range","",0.1147441178,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"2","COMPASS: Synoptic","CB","SWH","SWAMP","A",20,"SWH_202511_UP_LYSA_20CM",2025,11,5,"10:25","EST",3.0869,0.0962850904553961,"Within_Range","",16.7962,0.473799717912553,"Within_Range","",0.0303767334,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"3","COMPASS: Synoptic","CB","SWH","SWAMP","A",45,"SWH_202511_UP_LYSA_45CM",2025,11,5,"10:25","EST",1.5042,0.0469182782283219,"Within_Range","",11.0936,0.312936530324401,"Within_Range","",0.0200721352,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"4","COMPASS: Synoptic","CB","SWH","SWAMP","B",10,"SWH_202511_UP_LYSB_10CM",2025,11,5,"10:36","EST",18.101,0.564597629444791,"Within_Range","",167.8123,4.73377433004231,"Within_Range","",0.3032628261,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"5","COMPASS: Synoptic","CB","SWH","SWAMP","B",20,"SWH_202511_UP_LYSB_20CM",2025,11,5,"10:36","EST",9.8565,0.30743917654398,"Within_Range","",80.2279,2.26312834978843,"Within_Range","",0.1449978153,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"6","COMPASS: Synoptic","CB","SWH","SWAMP","B",45,"SWH_202511_UP_LYSB_45CM",2025,11,5,"10:36","EST",1.278,0.0398627573300062,"Within_Range","",19.1515,0.540239774330042,"Within_Range","",0.0346327605,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"7","COMPASS: Synoptic","CB","SWH","SWAMP","C",10,"SWH_202511_UP_LYSC_10CM",2025,11,5,"10:43","EST",64.4674,2.01083593262633,"Within_Range","",586.1864,16.5355825105783,"Within_Range","",1.0592648248,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"8","COMPASS: Synoptic","CB","SWH","SWAMP","C",20,"SWH_202511_UP_LYSC_20CM",2025,11,5,"10:43","EST",5.1416,0.160374298190892,"Within_Range","",172.1407,4.8558730606488,"Within_Range","",0.3110842449,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"9","COMPASS: Synoptic","CB","SWH","SWAMP","C",45,"SWH_202511_UP_LYSC_45CM",2025,11,5,"10:43","EST",0.1834,0.00572052401746725,"Within_Range","",28.4106,0.801427362482369,"Within_Range","",0.0513639542,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
"10","COMPASS: Synoptic","CB","SWH","SWAMP","A",10,"SWH_202511_SWAMP_LYSA_10CM",2025,11,5,"11:50","EST",3.1831,0.0992857142857143,"Within_Range","",257.318,7.25861777150917,"Within_Range","",0.464999626,"2025-11-20","No issues with this run. All sample IDs are present in metadata.
  ",""
