Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	4.297	0.0001	0.09	0.0001	0
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
6	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
7	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
8	Standard 1	Calibration Standard	4.287	0.4879	6.61	0.4812	3.11
9	Standard 2	Calibration Standard	4.287	0.946	6.33	0.9329	5.84
10	Standard 3	Calibration Standard	4.28	1.9497	6.63	1.9229	11.7
11	Standard 4	Calibration Standard	4.24	9.9702	6.86	9.8329	54.06
12	Standard 5	Calibration Standard	4.203	20.0705	6.85	19.7941	98.47
13	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
14	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
15	1_GCrew_202208_UP_LysA_20cm	Unknown	4.307	2.4251	0.97	0.0478	0.18
16	2_GCrew_202208_UP_LysB_10cm	Unknown	4.407	2.1244	0.82	0.0419	0.16
17	3_GCrew_202208_UP_LysB_20cm	Unknown	4.303	2.8035	1.09	0.0553	0.2
18	4_GCrew_202208_UP_LysB_45cm	Unknown	4.293	6.1576	2.2	0.1215	0.47
19	5_GCrew_202208_UP_LysC_20cm	Unknown	4.3	3.0541	1.1	0.0602	0.22
20	6_GCrew_202208_UP_LysC_45cm	Unknown	4.3	6.0238	1.71	0.1188	0.43
21	7_GCrew_202208_TR_LysA_10cm	Unknown	4.29	6.2806	2.47	0.1239	0.42
