Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	3.22	0.0215	31.11	0.0287	0.1
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
6	Lab Blank	Unknown	3.217	0.013	79.27	0.0174	0.1
7	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
8	Standard 1	Calibration Standard	3.22	5.0613	92.77	6.7541	44.38
9	Standard 2	Calibration Standard	3.217	10.2683	92.96	13.7026	89
10	Standard 3	Calibration Standard	3.213	20.123	92.59	26.8533	172.22
11	Standard 4	Calibration Standard	3.197	99.1557	92.28	132.3193	806.07
12	Standard 5	Calibration Standard	3.187	200.0219	92.33	266.9211	1581.47
13	Lab Blank	Unknown	3.217	0.153	100	0.2042	1.45
14	Lab Blank	Unknown	3.217	0.0644	100	0.0859	0.61
15	1_GCrew_202208_UP_LysA_20cm	Unknown	3.2	10.7228	5.79	0.2862	1.24
16	2_GCrew_202208_UP_LysB_10cm	Unknown	3.22	2.74	1.44	0.0731	0.67
17	3_GCrew_202208_UP_LysB_20cm	Unknown	3.22	1.5278	0.8	0.0408	0.4
18	4_GCrew_202208_UP_LysB_45cm	Unknown	3.217	26.9899	13.05	0.7203	3.4
19	5_GCrew_202208_UP_LysC_20cm	Unknown	3.217	26.3339	12.79	0.7028	3.28
20	6_GCrew_202208_UP_LysC_45cm	Unknown	3.223	5.314	2.04	0.1418	1.25
21	7_GCrew_202208_TR_LysA_10cm	Unknown	3.22	3.7362	1.99	0.0997	0.88
