Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Standard 1	Unknown	4.397 	0.5017 	5.85 	0.4070 	2.53 
4	Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.393 	0.5034 	5.87 	0.4084 	2.54 
6	Standard 2	Calibration Standard	4.400 	1.0993 	6.12 	0.8917 	5.39 
7	Standard 3	Calibration Standard	4.387 	2.1754 	6.30 	1.7646 	10.47 
8	Standard 4	Calibration Standard	4.363 	8.6717 	6.54 	7.0342 	39.25 
9	Standard 5	Calibration Standard	4.327 	20.0596 	6.64 	16.2717 	83.31 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_202211_MSM_UP_LysA_10cm	Unknown	4.383 	264.6481 	5.16 	4.2935 	23.48 
13	2_202211_MSM_UP_LysA_20cm	Unknown	4.393 	277.1974 	7.15 	4.4971 	24.25 
14	3_202211_MSM_UP_LysB_10cm	Unknown	4.420 	86.2372 	7.03 	1.3991 	7.82 
15	4_202211_MSM_UP_LysB_20cm	Unknown	4.410 	114.7059 	6.60 	1.8609 	10.33 
16	5_202211_MSM_UP_LysB_45cm	Unknown	4.390 	547.2917 	10.45 	8.8789 	45.24 
17	6_202211_MSM_UP_LysC_10cm	Unknown	4.413 	96.2034 	5.15 	1.5607 	9.01 
18	7_202211_MSM_UP_LysC_20cm	Unknown	4.410 	202.4505 	6.50 	3.2844 	17.88 
19	8_202211_MSM_UP_LysC_45cm	Unknown	4.377 	647.3701 	10.84 	10.5025 	53.78 
