Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
6	Standard 1	Calibration Standard	4.303 	0.5203 	6.97 	0.5091 	3.17 
7	Standard 2	Calibration Standard	4.300 	0.9682 	6.55 	0.9474 	5.77 
8	Standard 3	Calibration Standard	4.297 	1.9952 	6.82 	1.9523 	11.66 
9	Standard 4	Calibration Standard	4.257 	9.9443 	6.91 	9.7305 	53.44 
10	Standard 5	Calibration Standard	4.217 	19.6703 	6.85 	19.2474 	96.37 
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	1_202207_GCrew_UP_LysB_10cm	Unknown	4.327 	3.3588 	1.29 	0.0657 	0.22 
14	2_202207_GCrew_UP_LysC_10cm	Unknown	4.327 	3.3268 	1.30 	0.0651 	0.22 
15	3_202207_GCrew_UP_LysA_20cm	Unknown	4.317 	4.5447 	1.74 	0.0889 	0.28 
16	4_202207_GCrew_UP_LysB_20cm	Unknown	4.323 	3.6999 	1.43 	0.0724 	0.24 
17	5_202207_GCrew_UP_LysC_20cm	Unknown	4.323 	3.5197 	1.39 	0.0689 	0.22 
18	6_202207_GCrew_UP_LysB_45cm	Unknown	4.310 	7.1961 	2.58 	0.1408 	0.45 
19	7_202207_GCrew_UP_LysC_45cm	Unknown	4.310 	8.8104 	3.12 	0.1724 	0.56 
