"","Column_Names","Description","Units","Instrument_ifapplicable"
"1","Project","Project name: Project component","NA","NA"
"2","Region","Region samples originated from: CB = Chesapeake Bay","NA","NA"
"3","Year","Year (YYYY) of sample collection","NA","NA"
"4","Month","Month (#) of sample collection","NA","NA"
"5","Day","Day (#) of sample collection","NA","NA"
"6","Site","Name of sampling transect location (GCW, SWH, MSM, GWI), see dataset locations for coordinates","NA","NA"
"7","Zone","Zone within space-for-time transect (UP=upland, TR=transition)","NA","NA"
"8","Sapflux_ID","Sap flow (SF) id (1-8, 11, 19). The # ID for the sap flow sensor associated with the tree (only live trees)","NA","NA"
"9","Species","USDA Species code for tree sampled","NA","NA"
"10","DBH_cm","Diameter at breast height (DBH) for tree sampled in same year","cm","DBH tape"
"11","Status","Tree status indicates if the tree was Living or Dead Standing","NA","NA"
"12","Tree_Info","Tree Info indicates if the tree had sap flow monitoring during sampling, dead trees were not monitored for sap flow","NA","NA"
"13","Sample_ID","Sample identifier used in laboratory and field","NA","NA"
"14","CH4_ppm","Methane concentration of sample from tree gas well","ppm","Varian 450 GC (Agilent Technologies)"
"15","CH4_Flag","Methane concentration flag: NA (data within instrument and std curve range) or Out of Std Curve Range.","NA","NA"
"16","CO2_ppm","Carbon Dioxide concentration of sample from tree gas well","ppm","Varian 450 GC (Agilent Technologies)"
"17","CO2_Flag","Carbon Dioxide concentration flag: NA (data within instrument and std curve range) or Out of Std Curve Range.","NA","NA"
