Machine,User ,Run_Date,Sample_Type,Type1,Sample_Year,Sample_Month,Sample_ID,Dilution_Factor,STD_Conc,CO2_Area,CH4_Area,Field Notes,Lab Notes
Varian GC,Wegner,20230301,Blank,Blank,2023,NA,Blank_0,1,0,2844,0,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,Blank_0_repeatforCH4,1,0,2844,0,,
Varian GC,Wegner,20230301,STD_CO2,STD_CO2,2023,NA,Blank_0_repeatforCO2,1,0,2844,0,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_1ppm_CH4,1,1,27299,587,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_2.5ppm_CH4,1,2.5,72256,1621,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_5ppm_CH4,1,5,149377,3304,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_10ppm_CH4,1,10,295564,6524,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_25ppm_CH4,1,25,717573,16421,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_50ppm_CH4,1,50,1510928,34294,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_100ppm_CH4,1,100,2885,70749,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_250ppm_CH4,1,250,1939,178249,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_500ppm_CH4,1,500,1720,362086,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_2500ppm_CH4,1,2500,1886,1835062,,
Varian GC,Wegner,20230301,STD_CH4,STD_CH4,2023,NA,STD_5000ppm_CH4,1,5000,3498,3357100,,
Varian GC,Wegner,20230301,STD_CO2,STD_CO2,2023,NA,STD_125ppm_CO2,1,125,24650,933,,
Varian GC,Wegner,20230301,STD_CO2,STD_CO2,2023,NA,STD_500ppm_CO2,1,500,85043,363,,
Varian GC,Wegner,20230301,STD_CO2,STD_CO2,2023,NA,STD_2500ppm_CO2,1,2500,413053,236,,
Varian GC,Wegner,20230301,STD_CO2,STD_CO2,2023,NA,STD_5000ppm_CO2,1,5000,833274,209,,
Varian GC,Wegner,20230301,STD_CO2,STD_CO2,2023,NA,STD_50000ppm_CO2,1,50000,8122823,393,,
Varian GC,Wegner,20230301,Blank,Blank,2023,NA,Blank_1,1,0,10609,0,,checked
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,GCW_TGW_TR_SF_1,12,NA,995839,74179,,10mL N2 added in lab
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,GCW_TGW_TR_SF_2,12,NA,1002126,332049,,10mL N2 added in lab
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,GCW_TGW_TR_SF_3,12,NA,819981,115222,,10mL N2 added in lab
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,GCW_TGW_TR_SF_4,12,NA,878772,198883,,10mL N2 added in lab
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,GCW_TGW_TR_SF_5,12,NA,1223752,5258787,,10mL N2 added in lab
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,GCW_TGW_TR_SF_6,12,NA,1261107,3472444,,10mL N2 added in lab
Varian GC,Wegner,20230301,Unknown,TGW,2023,June,MSM_TGW_UP_SF_1,2.83,NA,254719,2762,,10mL N2 added in lab
