Machine,User ,Run_Date,Sample_Type,Type1,Sample_Year,Sample_Month,Sample_ID,Dilution_Factor,STD_Conc,CO2_Area,CH4_Area,Field Notes,Lab Notes
Varian GC,Wegner,20240228,Blank,Blank,2024,NA,Blank_0,1,0,14889,311,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2024,NA,Blank_0_repeatforCH4,1,0,14889,311,,
Varian GC,Wegner,20240228,STD_CO2,STD_CO2,2024,NA,Blank_0_repeat for CO2,1,0,14889,311,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_2.5ppm_CH4,1,2.5,69708,1558,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_1ppm_CH4,1,1,25322,580,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_5ppm_CH4,1,5,140050,3194,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_10ppm_CH4,1,10,279592,6314,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_25ppm_CH4,1,25,635448,14629,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_50ppm_CH4,1,50,1424812,32984,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_100ppm_CH4,1,100,2577,68303,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_250ppm_CH4,1,250,1325,168943,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_500ppm_CH4,1,500,1506,340818,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_2500ppm_CH4,1,2500,0,1676946,,
Varian GC,Wegner,20240228,STD_CH4,STD_CH4,2023,May,STD_5000ppm_CH4,1,5000,3132,3275406,,
Varian GC,Wegner,20240228,STD_CO2,STD_CO2,2023,May,STD_125ppm_CO2,1,125,22247,900,,
Varian GC,Wegner,20240228,STD_CO2,STD_CO2,2023,May,STD_500ppm_CO2,1,500,81759,331,,
Varian GC,Wegner,20240228,STD_CO2,STD_CO2,2023,May,STD_2500ppm_CO2,1,2500,386544,230,,
Varian GC,Wegner,20240228,STD_CO2,STD_CO2,2023,May,STD_5000ppm_CO2,1,5000,794108,312,,
Varian GC,Wegner,20240228,STD_CO2,STD_CO2,2024,NA,STD_50000ppm_CO2,1,50000,7702359,375,,
Varian GC,Wegner,20240228,Blank,Blank,2024,NA,Blank_1,1,0,14175,0,,
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,GCW_TGW_TR_SF_1,12,NA,658482,312134,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,GCW_TGW_TR_SF_2,12,NA,777613,362443,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,GCW_TGW_TR_SF_3,12,NA,1066233,229897,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,GCW_TGW_TR_SF_4,12,NA,719637,250211,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,GCW_TGW_TR_SF_5,12,NA,913981,4090681,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,GCW_TGW_TR_SF_6,12,NA,834714,3000165,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_1,2.83,NA,2457017,24965,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_2,2.83,NA,3709436,31238,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_3,2.83,NA,5096832,6548,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_4,2.83,NA,4179227,20401,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_5,2.83,NA,5539924,26969,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_6,2.83,NA,4695912,79990,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_7,2.83,NA,3768550,5714,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_UP_SF_8,2.83,NA,4284391,8483,,10mL N2 added in lab 
Varian GC,Wegner,20240228,Unknown,TGW,2023,May,MSM_TGW_TR_SF_1,2.83,NA,4490992,1621625,,CHECKED; 10mL N2 added in lab 
