"","intercept","r2","analyte","curve","run_date","slope"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",-20.1752221993459,0.999427693372954,"C","IC (mg/L)",2025-05-26,16.8018364165018
"6",-7.01892099002647,0.996610115625803,"C","IC (mg/L)",2025-05-28,16.4813976576082
"7",-15.9690110132211,0.999436469636194,"C","IC (mg/L)",2025-09-22,13.5040380461141
"8",-15.9906139419157,0.999361016453669,"C","IC (mg/L)",2025-09-24,13.4924959744694
"9",-18.9068707593701,0.999077086117624,"C","IC (mg/L)",2025-07-25,13.8040671240251
"10",-17.6898670362393,0.999107119886284,"C","IC (mg/L)",2025-07-27,13.6965954196252
