"Column_Names","Description","Units","Instrument_ifapplicable"
"Project","Project name","NA","NA"
"Region","Region samples originated from: CB = Chesapeake Bay","NA","NA"
"Site","Sample identifier used in laboratory and field","NA","NA"
"Zone","Year (YYYY) of sample collection","NA","NA"
"Replicate","Month (#) of sample collection","NA","NA"
"Depth_cm","Day (#) of sample collection","NA","NA"
"Sample_ID","Time (HH:MM) of sample collection","NA","NA"
"Year","Time Zone of sample collection","NA","NA"
"Month","Name of sampling transect location (GCW, SWH, MSM, GWI), see dataset locations for coordinates","NA","NA"
"Day","Zone within space-for-time transect (UP=Upland, SWAMP=Swamp, TR=Transition, WC=Wetland Control, SW=Surface Water)","NA","NA"
"Time","Lysimeter or sample replicate id (A-C)","NA","NA"
"Time_Zone","Depth in centimeters from which water sample was taken","cm","NA"
"ic_mgL","Dissolved inorganic Carbon (DIC) concentration in mg/L","mg/L","TOC-V (Shimadzu)"
"ic_uM","Dissolved inorganic Carbon (DIC) concentration in uM","uM","TOC-V (Shimadzu)"
"ic_flag","QAQC Flags generated during checks of standards, blanks, dups, and spks","NA","NA"
"Analysis_rundate","The date that samples were run on the Shimadzu TOC-V","NA","NA"
"Run_notes","Any notes generated during QAQC","NA","NA"
"Field_notes","Notes generated during field sample collection","NA","NA"
