Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.413	0.4992	6.85	0.4429	3.59
6	Standard 2	Calibration Standard	4.407	0.9541	6.81	0.8466	6.77
7	Standard 3	Calibration Standard	4.403	1.9438	6.87	1.7248	13.57
8	Standard 4	Calibration Standard	4.357	9.9503	6.91	8.8291	63.25
9	Standard 5	Calibration Standard	4.323	20.0328	7.02	17.7756	113.72
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lucie_7	Unknown	4.39	17.9956	26.9	3.1936	24.69
13	Lucie_8	Unknown	4.393	17.5786	27.09	3.1196	24.14
14	Lucie_9	Unknown	4.39	17.6878	26.97	3.139	24.32
15	Lucie_10	Unknown	4.39	17.7286	26.87	3.1462	24.37
16	Lucie_11	Unknown	4.393	20.353	28.8	3.6119	27.87
17	Lucie_12	Unknown	4.387	20.326	28.82	3.6071	27.86
18	Lucie_13	Unknown	4.387	19.6927	28.54	3.4948	27.02
19	Lucie_14	Unknown	4.393	17.8857	26.34	3.1741	24.5
20	Lucie_15	Unknown	4.39	17.5967	26.53	3.1228	24.24
21	Lucie_16	Unknown	4.39	18.2077	26.91	3.2312	25.01
22	Lucie_16_dup	Unknown	4.393	18.1758	26.9	3.2256	24.97
23	Lucie_17	Unknown	4.39	18.2718	22.92	3.2426	25.09
