Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.277	5.0876	92.81	5.9988	58.5
6	Standard 2	Calibration Standard	3.27	9.8111	93.07	11.5683	112.19
7	Standard 3	Calibration Standard	3.27	19.7953	93.02	23.3408	224.36
8	Standard 4	Calibration Standard	3.253	100.9261	93.09	119.0027	1098.78
9	Standard 5	Calibration Standard	3.257	199.5647	92.97	235.3082	2074.72
10	Lab Blank	Unknown	3.283	0.0226	100	0.0267	0.23
11	Lab Blank	Unknown	3.277	0.0109	100	0.0129	0.11
12	Lucie_7	Unknown	3.273	36.495	72.49	8.6063	84.06
13	Lucie_8	Unknown	3.273	35.3217	72.33	8.3296	81.32
14	Lucie_9	Unknown	3.273	35.6221	72.18	8.4004	82.09
15	Lucie_10	Unknown	3.273	35.7613	72.01	8.4333	82.37
16	Lucie_11	Unknown	3.273	36.4889	68.6	8.6049	83.85
17	Lucie_12	Unknown	3.273	36.3726	68.53	8.5774	83.72
18	Lucie_13	Unknown	3.273	35.7978	68.95	8.4419	82.34
19	Lucie_14	Unknown	3.273	36.0958	70.63	8.5122	82.23
20	Lucie_15	Unknown	3.273	35.5692	71.25	8.388	81.86
21	Lucie_16	Unknown	3.27	36.0279	70.74	8.4962	82.82
22	Lucie_16_dup	Unknown	3.273	35.9638	70.73	8.481	82.68
23	Lucie_17	Unknown	3.277	36.7596	61.29	8.6687	83.79
24	Lucie_17_spk	Spiked	3.273	36.2307	54.29	8.544	82.65
