,1,2,3,4,5,6,7,8,9,10,11,12
A,0.059,0.059,0.055,0.463,0.516,0.454,0.08,0.083,0.076,0.297,0.261,0.262
B,0.122,0.141,0.123,0.09,0.09,0.084,0.057,0.059,0.06,1.14,1.056,1.168
C,0.236,0.227,0.246,0.096,0.093,0.091,0.077,0.077,0.074,0.062,0.07,0.079
D,0.571,0.406,0.4,0.102,0.102,0.103,0.399,0.363,0.357,0.429,0.484,0.503
E,0.821,0.698,0.789,0.117,0.12,0.11,0.182,0.177,0.161,0.159,0.199,0.177
F,1.317,1.116,1.328,0.124,0.117,0.128,0.13,0.126,0.131,0.058,0.057,0.056
G,1.126,1.203,1.113,0.128,0.142,0.126,1.499,1.468,1.355,0.064,0.063,0.062
H,1.317,1.164,1.153,0.105,0.102,0.103,0.069,0.068,0.07,0.581,0.702,0.642
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,32,32,32,40,40,40,46,46,46
B,Std 1,Std 1,Std 1,33,33,33,ChkStd 0,ChkStd 0,ChkStd 0,47,47,47
C,Std 2,Std 2,Std 2,34,34,34,40 Dup,40 Dup,40 Dup,48,48,48
D,,Std 3,Std 3,35,35,35,ChkStd 3,ChkStd 3,ChkStd 3,32 Spike,32 Spike,32 Spike
E,,,,36,36,36,41,41,41,41 Spike,41 Spike,41 Spike
F,Std 5,Std 5,Std 5,37,37,37,42,42,42,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,38,38,38,43,43,43,48 Dup,48 Dup,48 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,39,39,39,44,44,44,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
