"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes","Date"
"1","COMPASS: Synoptic","CB","GCW","SW","A",0,"GCW_202304_SW_A",2023,4,19,NA,NA,0.020381,1.45508935009674,"bdl","NOx r2 low",0.046872,3.34639850928484,"Within_Range",NA,0.075541,2.4388706802874,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"2","COMPASS: Synoptic","CB","GCW","SW","B",0,"GCW_202304_SW_B",2023,4,19,NA,NA,0.013559,0.968036725281472,"bdl","NOx r2 low",0.013939,0.995166598841983,"bdl",NA,0.037855,1.22216345563706,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"3","COMPASS: Synoptic","CB","GCW","SW","C",0,"GCW_202304_SW_C",2023,4,19,NA,NA,0.013407,0.957184775857268,"bdl","NOx r2 low",0.104449,7.4570741145309,"Within_Range",NA,0.064779,2.0914153082212,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"4","COMPASS: Synoptic","CB","GCW","TR","A",10,"GCW_202304_TR_LysA_10cm",2023,4,19,NA,NA,0.010109,0.721726031113681,"bdl","NOx r2 low",0.352631,25.1758801145166,"Within_Range",NA,0.005954,0.192227214763257,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"5","COMPASS: Synoptic","CB","GCW","TR","A",20,"GCW_202304_TR_LysA_20cm",2023,4,19,NA,NA,0.012501,0.892501445736683,"bdl","NOx r2 low",0.002209,0.157710238671493,"bdl",NA,0.020493,0.661624506574306,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"6","COMPASS: Synoptic","CB","GCW","TR","A",45,"GCW_202304_TR_LysA_45cm",2023,4,19,NA,NA,0.00805,0.574724953058179,"bdl","NOx r2 low",0.025265,1.8037796197534,"Within_Range",NA,0.003515,0.113483147445893,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"7","COMPASS: Synoptic","CB","GCW","TR","B",10,"GCW_202304_TR_LysB_10cm",2023,4,19,NA,NA,0.009195,0.656471545760243,"bdl","NOx r2 low",0.57163,40.8111832194593,"Within_Range",NA,0.011044,0.356559852174237,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"8","COMPASS: Synoptic","CB","GCW","TR","B",20,"GCW_202304_TR_LysB_20cm",2023,4,19,NA,NA,0.008206,0.58586248009881,"bdl","NOx r2 low",0.042787,3.05475236850936,"Within_Range",NA,0.009605,0.310101175310897,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"9","COMPASS: Synoptic","CB","GCW","TR","B",45,"GCW_202304_TR_LysB_45cm",2023,4,19,NA,NA,0.009821,0.701164442730979,"bdl","NOx r2 low",0.012967,0.925771238050362,"bdl",NA,0.010533,0.340062017652231,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"10","COMPASS: Synoptic","CB","GCW","TR","C",10,"GCW_202304_TR_LysC_10cm",2023,4,19,NA,NA,0.011979,0.855233566793035,"bdl","NOx r2 low",0,0,"bdl",NA,0.009851,0.318043381362587,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
"11","COMPASS: Synoptic","CB","GCW","TR","C",20,"GCW_202304_TR_LysC_20cm",2023,4,19,NA,NA,0.022741,1.62358014378833,"bdl","NOx r2 low",0.33914,24.2126982087144,"Within_Range",NA,0.031842,1.02803140283702,"Within_Range",NA,"06/04/2023","NH3 3rd Party Check off, but all other run 
  parameters are fine so accepting this run.",NA,2023-04-19
