"","Project","Region","Sample_ID","Year","Month","Day","Time","Time_Zone","Site","Zone","Replicate","Depth_cm","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","MSM_202206_UP_LYSA_10CM",2022,6,6,NA,NA,"MSM","UP","A",10,126.0804,3.9326,NA,NA,1568.6751,44.2504,NA,NA,2.8346,NA,NA,NA
"2","COMPASS: Synoptic","CB","MSM_202206_TR_LYSA_10CM",2022,6,6,NA,NA,"MSM","TR","A",10,331.4201,10.3375,NA,NA,2755.8535,77.7392,NA,NA,4.9799,NA,NA,NA
"3","COMPASS: Synoptic","CB","MSM_202206_TR_LYSB_10CM",2022,6,6,NA,NA,"MSM","TR","B",10,367.1323,11.4514,NA,NA,3027.1985,85.3935,NA,NA,5.4702,NA,NA,NA
"4","COMPASS: Synoptic","CB","MSM_202206_TR_LYSC_10CM",2022,6,6,NA,NA,"MSM","TR","C",10,314.1841,9.7999,NA,NA,2868.5932,80.9194,NA,NA,5.1836,NA,NA,NA
"5","COMPASS: Synoptic","CB","MSM_202206_TR_LYSA_20CM",2022,6,6,NA,NA,"MSM","TR","A",20,419.4743,13.084,NA,NA,2817.4242,79.476,NA,NA,5.0911,NA,NA,NA
"6","COMPASS: Synoptic","CB","MSM_202206_TR_LYSB_20CM",2022,6,6,NA,NA,"MSM","TR","B",20,348.7404,10.8777,NA,NA,2952.4617,83.2852,NA,NA,5.3351,NA,NA,NA
"7","COMPASS: Synoptic","CB","MSM_202206_TR_LYSC_20CM",2022,6,6,NA,NA,"MSM","TR","C",20,308.5873,9.6253,NA,NA,2918.0163,82.3136,NA,NA,5.2729,NA,NA,NA
"8","COMPASS: Synoptic","CB","MSM_202206_TR_LYSA_45CM",2022,6,6,NA,NA,"MSM","TR","A",45,489.302,15.2621,NA,NA,3366.3801,94.9614,NA,NA,6.0831,NA,NA,NA
"9","COMPASS: Synoptic","CB","MSM_202206_TR_LYSB_45CM",2022,6,6,NA,NA,"MSM","TR","B",45,461.7393,14.4023,NA,NA,3741.1335,105.5327,NA,NA,6.7603,NA,NA,NA
"10","COMPASS: Synoptic","CB","MSM_202206_TR_LYSC_45CM",2022,6,6,NA,NA,"MSM","TR","C",45,451.001,14.0674,NA,NA,3028.6085,85.4332,NA,NA,5.4727,NA,NA,NA
"11","COMPASS: Synoptic","CB","MSM_202206_UP_LYSB_10CM",2022,6,6,NA,NA,"MSM","UP","B",10,103.5657,3.2304,NA,NA,1069.0949,30.1578,NA,NA,1.9319,NA,NA,NA
"12","COMPASS: Synoptic","CB","GWI_202206_UP_LYSA_10CM",2022,6,9,NA,NA,"GWI","UP","A",10,705.1898,21.9959,NA,NA,4974.0704,140.3123,NA,NA,8.9882,NA,NA,NA
"13","COMPASS: Synoptic","CB","GWI_202206_UP_LYSB_10CM",2022,6,9,NA,NA,"GWI","UP","B",10,531.2826,16.5715,NA,NA,3905.7877,110.1774,NA,NA,7.0578,NA,NA,NA
"14","COMPASS: Synoptic","CB","MSM_202206_UP_LYSC_10CM",2022,6,6,NA,NA,"MSM","UP","C",10,139.2101,4.3422,NA,NA,1527.3732,43.0853,NA,NA,2.76,NA,NA,NA
"15","COMPASS: Synoptic","CB","GWI_202206_UP_LYSC_10CM",2022,6,9,NA,NA,"GWI","UP","C",10,1136.6741,35.4546,NA,NA,7773.1471,219.2707,NA,NA,14.0461,NA,NA,NA
"16","COMPASS: Synoptic","CB","GWI_202206_UP_LYSA_20CM",2022,6,9,NA,NA,"GWI","UP","A",20,682.3081,21.2822,NA,NA,5074.2239,143.1375,NA,NA,9.1691,NA,NA,NA
"17","COMPASS: Synoptic","CB","GWI_202206_UP_LYSB_20CM",2022,6,9,NA,NA,"GWI","UP","B",20,650.3517,20.2855,NA,NA,4976.2069,140.3726,NA,NA,8.992,NA,NA,NA
"18","COMPASS: Synoptic","CB","GWI_202206_UP_LYSC_20CM",2022,6,9,NA,NA,"GWI","UP","C",20,750.6523,23.414,NA,NA,6075.7183,171.3884,NA,NA,10.9788,NA,NA,NA
"19","COMPASS: Synoptic","CB","GWI_202206_UP_LYSA_45CM",2022,6,9,NA,NA,"GWI","UP","A",45,620.3873,19.3508,NA,NA,5158.362,145.5109,NA,NA,9.3212,NA,NA,NA
"20","COMPASS: Synoptic","CB","GWI_202206_UP_LYSB_45CM",2022,6,9,NA,NA,"GWI","UP","B",45,565.631,17.6429,NA,NA,4357.2527,122.9126,NA,NA,7.8736,NA,NA,NA
"21","COMPASS: Synoptic","CB","GWI_202206_UP_LYSC_45CM",2022,6,9,NA,NA,"GWI","UP","C",45,853.7856,26.6309,NA,NA,6483.2126,182.8833,NA,NA,11.7152,NA,NA,NA
"22","COMPASS: Synoptic","CB","GWI_202206_TR_LYSA_10CM",2022,6,9,NA,NA,"GWI","TR","A",10,1166.3401,36.3799,NA,NA,8618.8088,243.1258,NA,NA,15.5742,NA,NA,NA
"23","COMPASS: Synoptic","CB","GWI_202206_TR_LYSB_10CM",2022,6,9,NA,NA,"GWI","TR","B",10,1054.9614,32.9058,NA,NA,7896.1734,222.7411,NA,NA,14.2684,NA,NA,NA
"24","COMPASS: Synoptic","CB","GWI_202206_TR_LYSC_10CM",2022,6,9,NA,NA,"GWI","TR","C",10,939.7829,29.3133,NA,NA,7379.9328,208.1786,NA,NA,13.3356,NA,NA,NA
"25","COMPASS: Synoptic","CB","MSM_202206_UP_LYSA_20CM",2022,6,6,NA,NA,"MSM","UP","A",20,180.9152,5.643,NA,NA,2031.261,57.2993,NA,NA,3.6705,NA,NA,NA
"26","COMPASS: Synoptic","CB","GWI_202206_TR_LYSA_20CM",2022,6,9,NA,NA,"GWI","TR","A",20,1048.1038,32.6919,NA,NA,7487.9046,211.2244,NA,NA,13.5307,NA,NA,NA
"27","COMPASS: Synoptic","CB","GWI_202206_TR_LYSB_20CM",2022,6,9,NA,NA,"GWI","TR","B",20,1145.7933,35.739,NA,NA,8878.5123,250.4517,NA,NA,16.0435,NA,NA,NA
"28","COMPASS: Synoptic","CB","GWI_202206_TR_LYSC_20CM",2022,6,9,NA,NA,"GWI","TR","C",20,1031.8017,32.1835,NA,NA,8228.9291,232.1278,NA,NA,14.8697,NA,NA,NA
"29","COMPASS: Synoptic","CB","GWI_202206_TR_LYSA_45CM",2022,6,9,NA,NA,"GWI","TR","A",45,633.3503,19.7552,NA,NA,5328.1588,150.3007,NA,NA,9.628,NA,NA,NA
"30","COMPASS: Synoptic","CB","GWI_202206_TR_LYSB_45CM",2022,6,9,NA,NA,"GWI","TR","B",45,1065.4746,33.2338,NA,NA,7901.501,222.8914,NA,NA,14.278,NA,NA,NA
"31","COMPASS: Synoptic","CB","GWI_202206_TR_LYSC_45CM",2022,6,9,NA,NA,"GWI","TR","C",45,884.0311,27.5743,NA,NA,7337.9827,206.9953,NA,NA,13.2598,NA,NA,NA
"32","COMPASS: Synoptic","CB","MSM_202206_UP_LYSB_20CM",2022,6,6,NA,NA,"MSM","UP","B",20,120.921,3.7717,NA,NA,1237.6007,34.9112,NA,NA,2.2364,NA,NA,NA
"33","COMPASS: Synoptic","CB","GCW_202206_UP_LYSA_10CM",2022,6,10,NA,NA,"GCW","UP","A",10,3.6335,0.1133,NA,NA,0,0,NA,NA,0,NA,NA,NA
"34","COMPASS: Synoptic","CB","GCW_202206_UP_LYSB_10CM",2022,6,10,NA,NA,"GCW","UP","B",10,1.4062,0.0439,NA,NA,6.0218,0.1699,NA,NA,0.0109,NA,NA,NA
"35","COMPASS: Synoptic","CB","GCW_202206_UP_LYSC_10CM",2022,6,10,NA,NA,"GCW","UP","C",10,2.6083,0.0814,NA,NA,10.7516,0.3033,NA,NA,0.0195,NA,NA,NA
"36","COMPASS: Synoptic","CB","GCW_202206_UP_LYSA_20CM",2022,6,10,NA,NA,"GCW","UP","A",20,6.3223,0.1972,NA,NA,7.4852,0.2111,NA,NA,0.0136,NA,NA,NA
"37","COMPASS: Synoptic","CB","GCW_202206_UP_LYSB_20CM",2022,6,10,NA,NA,"GCW","UP","B",20,1.4627,0.0456,NA,NA,5.4847,0.1547,NA,NA,0.0099,NA,NA,NA
"38","COMPASS: Synoptic","CB","GCW_202206_UP_LYSA_45CM",2022,6,10,NA,NA,"GCW","UP","A",45,1.3993,0.0436,NA,NA,8.6165,0.2431,NA,NA,0.0156,NA,NA,NA
"39","COMPASS: Synoptic","CB","GCW_202206_TR_LYSA_10CM",2022,6,10,NA,NA,"GCW","TR","A",10,4.4018,0.1373,NA,NA,5.802,0.1637,NA,NA,0.0105,NA,NA,NA
"40","COMPASS: Synoptic","CB","GCW_202206_TR_LYSB_10CM",2022,6,10,NA,NA,"GCW","TR","B",10,0,0,NA,NA,29.7153,0.8382,NA,NA,0.0537,NA,NA,NA
"41","COMPASS: Synoptic","CB","GCW_202206_TR_LYSC_10CM",2022,6,10,NA,NA,"GCW","TR","C",10,12.3101,0.384,NA,NA,22.1716,0.6254,NA,NA,0.0401,NA,NA,NA
"42","COMPASS: Synoptic","CB","MSM_202206_UP_LYSC_20CM",2022,6,6,NA,NA,"MSM","UP","C",20,170.5623,5.3201,NA,NA,1915.3132,54.0286,NA,NA,3.461,NA,NA,NA
"43","COMPASS: Synoptic","CB","GCW_202206_TR_LYSA_20CM",2022,6,10,NA,NA,"GCW","TR","A",20,9.4652,0.2952,NA,NA,3.7973,0.1071,NA,NA,0.0069,NA,NA,NA
"44","COMPASS: Synoptic","CB","GCW_202206_TR_LYSB_20CM",2022,6,10,NA,NA,"GCW","TR","B",20,0,0,NA,NA,5.8317,0.1645,NA,NA,0.0106,NA,NA,NA
"45","COMPASS: Synoptic","CB","GCW_202206_TR_LYSC_20CM",2022,6,10,NA,NA,"GCW","TR","C",20,33.2619,1.0375,NA,NA,34.6283,0.9768,NA,NA,0.0626,NA,NA,NA
"46","COMPASS: Synoptic","CB","GCW_202206_TR_LYSA_45CM",2022,6,10,NA,NA,"GCW","TR","A",45,3.1151,0.0972,NA,NA,11.191,0.3157,NA,NA,0.0202,NA,NA,NA
"47","COMPASS: Synoptic","CB","GCW_202206_TR_LYSB_45CM",2022,6,10,NA,NA,"GCW","TR","B",45,6.4804,0.2021,NA,NA,7.8649,0.2219,NA,NA,0.0142,NA,NA,NA
"48","COMPASS: Synoptic","CB","GCW_202206_TR_LYSC_45CM",2022,6,10,NA,NA,"GCW","TR","C",45,8.4172,0.2625,NA,NA,4.2921,0.1211,NA,NA,0.0078,NA,NA,NA
"49","COMPASS: Synoptic","CB","MSM_202206_UP_LYSA_45CM",2022,6,6,NA,NA,"MSM","UP","A",45,190.4671,5.941,NA,NA,2334.0716,65.8412,NA,NA,4.2177,NA,NA,NA
"50","COMPASS: Synoptic","CB","GCW_202206_WC_LYSA_10CM",2022,6,10,NA,NA,"GCW","WC","A",10,285.3617,8.9009,NA,NA,3313.6944,93.4752,NA,NA,5.9879,NA,NA,NA
"51","COMPASS: Synoptic","CB","GCW_202206_WC_LYSA_20CM",2022,6,10,NA,NA,"GCW","WC","A",20,380.7819,11.8772,NA,NA,4139.3895,116.767,NA,NA,7.4799,NA,NA,NA
"52","COMPASS: Synoptic","CB","GCW_202206_WC_LYSA_45CM",2022,6,10,NA,NA,"GCW","WC","A",45,145.5024,4.5384,NA,NA,4983.5113,140.5786,NA,NA,9.0052,NA,NA,NA
"53","COMPASS: Synoptic","CB","MSM_202206_UP_LYSB_45CM",2022,6,6,NA,NA,"MSM","UP","B",45,215.2179,6.713,NA,NA,2229.8247,62.9006,NA,NA,4.0293,NA,NA,NA
