"","Column_Names","Description","Units","Instrument_ifapplicable"
"1","Project","","",""
"2","Region","","",""
"3","Sample_ID","","",""
"4","Year","","",""
"5","Month","","",""
"6","Day","","",""
"7","Time","","",""
"8","Time_Zone","","",""
"9","Site","","",""
"10","Zone","","",""
"11","Replicate","","",""
"12","Depth_cm","","",""
"13","SO4_ppm","","",""
"14","SO4_Conc_mM","","",""
"15","SO4_Conc_flag","","",""
"16","SO4_QAQC_flag","","",""
"17","Cl_ppm","","",""
"18","Cl_Conc_mM","","",""
"19","Cl_Conc_flag","","",""
"20","Cl_QAQC_flag","","",""
"21","salinity","","",""
"22","Analysis_rundate","","",""
"23","Run_notes","","",""
"24","Field_notes","","",""
