Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Unknown	3.347	4.6731	96.01	5.2687	52.15
6	Standard 2	Unknown	3.347	9.7672	91.83	11.0121	105.06
7	Standard 3	Calibration Standard	3.34	19.3197	92.53	21.7821	202.97
8	Standard 4	Calibration Standard	3.323	101.9528	92.88	114.9475	1013.26
9	Standard 5	Calibration Standard	3.323	198.4012	92.83	223.689	1910.96
10	Standard 1	Unknown	3.347	4.7275	94.35	5.3301	52.43
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	Standard 1	Calibration Standard	3.347	4.597	94.55	5.1829	51.59
14	Standard 2	Calibration Standard	3.343	9.5971	91.68	10.8203	103.02
15	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
16	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
17	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
18	1_SWH_202408_UP_LYSA_10cm	Unknown	3.357	5.2141	1.23	0.1176	1.17
19	2_SWH_202408_UP_LYSA_20cm	Unknown	3.353	6.4269	1.54	0.1449	1.42
20	3_SWH_202408_UP_LYSA_45cm	Unknown	3.353	10.0876	2.39	0.2275	2.22
21	4_SWH_202408_UP_LYSB_10cm	Unknown	3.343	3.0034	0.81	0.0677	0.7
