Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	5.477	0.006	100	0.0126	0.05
2	Lab Blank	Unknown	5.47	0.0052	100	0.011	0.05
3	Lab Blank	Unknown	5.497	0.0059	100	0.0124	0.05
4	Lab Blank	Unknown	5.513	0.0103	12.72	0.0218	0.06
5	Standard 1	Calibration Standard	5.513	4.7818	93.04	10.0646	58.81
6	Standard 2	Calibration Standard	5.503	10.1204	93.51	21.3009	120.85
7	Standard 3	Calibration Standard	5.493	20.0851	93.48	42.2742	234.7
8	Standard 4	Calibration Standard	5.467	100.6607	93.04	211.8659	1140.76
9	Standard 5	Calibration Standard	5.457	199.6606	92.98	420.2363	2142.17
10	Lab Blank	Unknown	5.47	0.0607	100	0.1279	0.26
11	Lab Blank	Unknown	5.453	0.0114	26.46	0.024	0.08
12	1_GCW_202407_TR_LysA_20cm	Unknown	5.473	6.2394	1.71	0.2626	1.58
13	2_GCW_202407_TR_LysA_45cm	Unknown	5.497	9.846	3.61	0.4145	2.42
14	3_GCW_202407_TR_LysB_10cm	Unknown	5.483	31.9797	9.01	1.3462	7.81
15	4_GCW_202407_TR_LysB_20cm	Unknown	5.487	6.3811	1.65	0.2686	1.61
16	5_GCW_202407_TR_LysB_45cm	Unknown	5.48	13.4456	3.54	0.566	3.32
17	6_GCW_202407_TR_LysC_20cm	Unknown	5.51	16.6779	4.15	0.7021	4.08
18	7_GCW_202407_TR_LysC_45cm	Unknown	5.483	99.6559	22.69	4.195	24.02
19	8_GCW_202407_WC_LysA_10cm	Unknown	5.447	5616.6849	86.04	118.2174	615.87
20	9_GCW_202407_WC_LysA_20cm	Unknown	5.477	5354.9375	87.32	112.7082	608.06
