Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	3.923	0.0137	14.02	0.0123	0.03	 M 
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Lab Blank	Unknown	3.907	0.0228	10.29	0.0206	0.05	 M 
7	Standard 1	Calibration Standard	4.34	0.4485	6.16	0.4044	3.1	BMB
8	Standard 2	Calibration Standard	4.34	0.9739	6.7	0.8782	6.79	BMB
9	Standard 3	Calibration Standard	4.323	1.9272	6.79	1.7379	13.35	BMB
10	Standard 4	Calibration Standard	4.293	9.9798	6.99	8.9995	62.8	BMB
11	Standard 5	Calibration Standard	4.243	20.02	7.07	18.0534	112.5	BMB
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
13	Lab Blank	Unknown	3.917	0.0159	10.3	0.0143	0.03	 M 
14	1_202607_MSM_UP_LysA_10cm	Unknown	4.31	223.8338	5.71	4.0369	30.2	BMB
15	2_202607_MSM_UP_LysA_20cm	Unknown	4.317	215.9884	5.74	3.8954	29.19	BMB
16	3_202607_MSM_UP_LysA_45cm	Unknown	4.307	231.9536	5.19	4.1834	31.22	BMB
17	4_202607_MSM_UP_LysB_10cm	Unknown	4.313	176.8475	5.93	3.1895	24.1	BMB
18	5_202607_MSM_UP_LysB_20cm	Unknown	4.313	191.5271	5.44	3.4543	26.01	BMB
19	6_202607_MSM_UP_LysB_45cm	Unknown	4.307	319.8869	6.08	5.7693	42.11	BMB
20	7_202607_MSM_UP_LysC_10cm	Unknown	4.31	207.4792	6.54	3.742	28.03	BMB
21	8_202607_MSM_UP_LysC_20cm	Unknown	4.317	152.2377	5.12	2.7457	20.84	BMB
22	9_202607_MSM_UP_LysC_45cm	Unknown	4.307	225.5828	5.62	4.0685	30.34	BMB
23	10_202607_MSM_TR_LysA_10cm	Unknown	4.25	922.7087	8.78	16.6414	105.91	BMB
24	10_202607_MSM_TR_LysA_10cm_dup	Unknown	4.257	917.4274	8.77	16.5462	105.32	BMB
25	11_202607_MSM_TR_LysA_20cm	Unknown	4.25	916.0412	8.29	16.5212	104.79	BMB
26	11_202607_MSM_TR_LysA_20cm_spk	Spiked	4.247	995.2523	9.03	17.9498	111.99	BMB
27	Standard 1	Check Standard	4.34	0.4815	6.53	0.4342	3.23	BMB
28	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
