Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.323	0.0271	17.27	0.0246	0.04	 M 
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.317	0.4851	6.89	0.4401	2.96	BMB
6	Standard 2	Calibration Standard	4.31	0.9131	6.45	0.8284	5.66	BMB
7	Standard 3	Calibration Standard	4.313	1.8602	6.68	1.6875	11.52	BMB
8	Standard 4	Calibration Standard	4.277	9.8849	6.94	8.9675	56.37	BMB
9	Standard 5	Calibration Standard	4.233	20.0762	7.01	18.213	104.39	BMB
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_GCW_202605_UP_LYSA_10CM	Unknown	4.317	0.1269	0.03	0.0023	0.02	bMb*^
13	2_GCW_202605_TR_LYSA_10CM	Unknown	4.317	31.0186	4.92	0.5628	3.83	BMB^
14	3_GCW_202605_TR_LYSA_20CM	Unknown	4.317	25.0379	4.14	0.4543	3.09	Rd
15	4_GCW_202605_TR_LYSA_45CM	Unknown	4.317	13.1758	1.87	0.2391	1.63	BMB
16	5_GCW_202605_TR_LYSB_10CM	Unknown	4.317	78.4854	5.44	1.424	9.68	BM 
17	6_GCW_202605_TR_LYSB_20CM	Unknown	4.31	54.5012	6.74	0.9889	6.73	BMB
18	7_GCW_202605_TR_LYSB_45CM	Unknown	4.307	108.4324	7.28	1.9674	13.34	BM 
19	8_GCW_202605_TR_LYSC_10CM	Unknown	4.303	127.4897	10.59	2.3132	15.66	BMB
20	9_GCW_202605_TR_LYSC_20CM	Unknown	4.307	116.719	9.4	2.1177	14.33	BM 
21	10_GCW_202605_TR_LYSC_45CM	Unknown	4.317	75.8012	3.95	1.3753	9.37	BMB
22	10_GCW_202605_TR_LYSC_45CM_dup	Unknown	4.317	75.7849	3.96	1.375	9.38	BMB
23	11_GCW_202605_WC_LYSA_10CM	Unknown	4.287	720.4057	8.59	6.5355	42.13	BM 
24	11_GCW_202605_WC_LYSA_10CM_spk	Spiked	4.273	872.2212	10.45	7.9127	50.32	BM 
25	Standard 1	Check Standard	4.317	0.506	7.13	0.4591	3.09	BMB
26	Lab Blank	Unknown	4.327	0.034	18.37	0.0308	0.05	 M 
27	12_GCW_202605_WC_LYSA_20CM	Unknown	4.307	709.5032	7.87	6.4366	41.8	BM 
28	13_GCW_202605_WC_LYSA_45CM	Unknown	4.297	325.7487	3.65	2.9552	19.94	BM 
