Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.337	0.4775	6.72	0.4272	3.15	BMB
6	Standard 2	Calibration Standard	4.33	0.9255	6.46	0.8279	6.22	BMB
7	Standard 3	Calibration Standard	4.323	1.8831	6.69	1.6846	12.64	BMB
8	Standard 4	Calibration Standard	4.28	9.984	6.93	8.9317	61.27	BMB
9	Standard 5	Calibration Standard	4.25	20.024	6.99	17.9136	110.28	BMB
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
12	56_202607_GCW_TR_LysA_10cm	Unknown	4.33	42.6892	6.62	0.7638	5.66	BMB^
13	57_202607_GCW_TR_LysA_20cm	Unknown	4.343	19.408	2.98	0.3473	2.57	BMB^
14	58_202607_GCW_TR_LysB_10cm	Unknown	4.313	172.2146	6.43	3.0813	22.65	BM 
15	59_202607_GCW_TR_LysB_20cm	Unknown	4.337	42.6494	2.6	0.7631	5.68	BMB
16	60_202607_GCW_TR_LysB_45cm	Unknown	4.327	55.2969	3.43	0.9894	7.36	BMB
17	61_202607_GCW_TR_LysC_20cm	Unknown	4.323	108.23	6.03	1.9365	14.34	BM 
18	62_202607_GCW_TR_LysC_45cm	Unknown	4.33	78.8574	5.14	1.4109	10.46	BM 
19	63_202607_GCW_WC_LysA_10cm	Unknown	4.307	624.6711	6.31	5.5884	39.89	BM 
20	64_202607_GCW_WC_LysA_20cm	Unknown	4.307	530.7992	6	4.7486	34.18	BM 
21	65_202607_GCW_WC_LysA_45cm	Unknown	4.313	306.1979	3.41	2.7393	20.21	BMB
22	65_202607_GCW_WC_LysA_45cm_dup	Unknown	4.313	298.5854	3.41	2.6712	19.7	BMB
23	66_202607_GCW_WC_LysB_10cm	Unknown	4.3	605.8016	6.46	5.4195	38.73	BM 
24	66_202607_GCW_WC_LysB_10cm_spk	Spiked	4.29	776.197	8.16	6.9439	48.62	BM 
25	Standard 1	Check Standard	4.347	0.4876	6.83	0.4362	3.19	BMB
26	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
27	67_202607_GCW_WC_LysB_20cm	Unknown	4.303	527.7818	6.42	4.7216	34.03	BM 
28	68_202607_GCW_WC_LysB_45cm	Unknown	4.307	651.7363	6.78	5.8305	41.37	BM 
