Machine,User ,Run_Date,Sample_Type,Type1,Sample_Year,Sample_Month,Sample_ID,Dilution_Factor,STD_Conc,CH4_Area,CO2_Area,Field Notes,Lab Notes
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_DS_1,2,NA,1420,285551,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_DS_2,2,NA,5068,1114202,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_DS_3,2,NA,2119,4462563,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_1,2,NA,1847,3899395,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_2,2,NA,1424,856806,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_3,2,NA,3065,2703534,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_4,2,NA,3011,3054601,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_5,2,NA,5424,2551177,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_6,2,NA,2501,2924327,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_7,2,NA,2663,830211,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_TR_SF_8,2,NA,1633,927029,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_1,2,NA,1984,4481594,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_2,2,NA,2300,9426059,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_3,2,NA,3582,5603386,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_4,2,NA,5120,5585055,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_5,2,NA,13843,11170028,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_6,2,NA,2831,4923498,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_7,2,NA,46094,7469455,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,GWI_TGAS_UP_SF_8,2,NA,4139,2632706,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_DS_1,2,NA,2178,293526,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_DS_2,2,NA,16110,564494,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_DS_3,2,NA,11120,1043492,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_1,2,NA,244185,3946837,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_2,2,NA,3621,3141337,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_3,2,NA,2246,1729482,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_4,2,NA,10330,3771007,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_5,2,NA,5913,11110933,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_6,2,NA,6704,1750563,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_7,2,NA,4284,2685508,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_TR_SF_8,2,NA,1428,576409,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_1,2,NA,3630,6621486,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_2,2,NA,8737,2592044,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_3,2,NA,3690,6931666,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_4,2,NA,2988,7738636,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_5,2,NA,7875,5395075,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_6,2,NA,10707,4561125,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_7,2,NA,2748,4264955,,
Varian GC,Stephanie J. Wilson,202205,Unknown,TGAS,2022,May,MSM_TGAS_UP_SF_8,2,NA,6125,6224944,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,Blank,1,0,274,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,Blank,1,0,405,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,Ch4 50 ppm a,1,50,29986,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 50 ppm b,1,50,28829,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 100 ppm a,1,100,59826,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 100 ppm b,1,100,57687,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 250 ppm a,1,250,144197,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 250 ppm b,1,250,145521,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 500 ppm a,1,500,282539,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 500 ppm b,1,500,288877,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 2500 ppm a,1,2500,1454660,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 2500 ppm b,1,2500,1392657,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 5000 ppm a,1,5000,2971848,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CH4,TGAS,2022,May,CH4 5000 ppm b,1,5000,2813132,NA,,
Varian GC,Stephanie J. Wilson,202205,STD_CO2,TGAS,2022,May,Blank,1,0,NA,1261,,
