RUNSTARTED,1658190607,7/18/2022 20:30,,,,,,,,,,,,
RUNENDED,1658190628,STOP IMMEDIATE PRESSED,,,,,,,,,,,,
RUNSTARTED,1658190693,7/18/2022 20:31,,,,,,,,,,,,
,,,,,Conc,Abs,,Dil,,,,,,
RESULT,-1,S1,Standard 1,0,0.005962,0.005962,0,0,0,512,mg N/L,Ammonia 2,1658191931,7/18/2022 20:52
RESULT,-2,S90,Standard .0389,1,0.030602,0.030602,0,0,0,512,mg N/L,Ammonia 2,1658192091,7/18/2022 20:54
RESULT,-2,S91,Standard .1000,2,0.066232,0.066232,0,0,0,512,mg N/L,Ammonia 2,1658192251,7/18/2022 20:57
RESULT,-2,S92,Standard .2000,3,0.128175,0.128175,0,0,0,512,mg N/L,Ammonia 2,1658192411,7/18/2022 21:00
RESULT,-2,S93,Standard .5000,4,0.313714,0.313714,0,0,0,512,mg N/L,Ammonia 2,1658192571,7/18/2022 21:02
RESULT,-2,S94,Standard 1.0000,5,0.640721,0.640721,0,0,0,512,mg N/L,Ammonia 2,1658192731,7/18/2022 21:05
RESULT,-2,S95,Standard 1.5000,6,0.906076,0.906076,0,0,0,512,mg N/L,Ammonia 2,1658192891,7/18/2022 21:08
RESULT,-2,S96,Standard 2.0000,7,1.207654,1.207654,0,0,0,512,mg N/L,Ammonia 2,1658193051,7/18/2022 21:10
RESULT,-1,S0,Standard 0,8,0.005649,0.005649,0,0,0,512,mg N/L,Ammonia 2,1658193211,7/18/2022 21:13
CALIBRATION,Ammonia 2,1658193211,7/18/2022 21:13,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,9,0.93508,0.573735,0,0,0,512,mg N/L,Ammonia 2,1658193371,7/18/2022 21:16
QCPRORESULT,NORMAL,0,1658193371,,,,,,,,,,,
QCPRODECISION,IN,1658193371,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,-0.005973,0.006601,0,0,0,512,mg N/L,Ammonia 2,1658193531,7/18/2022 21:18
QCPRORESULT,NORMAL,0,1658193531,,,,,,,,,,,
QCPRODECISION,IN,1658193531,,,,,,,,,,,,
RESULT,5,U1,MSM_UP_LysB_10cm,11,0.042758,0.035969,0,0,0,512,mg N/L,Ammonia 2,1658193691,7/18/2022 21:21
RESULT,5,C13,Duplicate,12,0.043113,0.036183,0,0,0,512,mg N/L,Ammonia 2,1658193851,7/18/2022 21:24
QCPRORESULT,DUPLICATE,0.826189,1658193851,,,,,,,,,,,
QCPRODECISION,IN,1658193851,,,,,,,,,,,,
RESULT,5,C14,Auto Spike,13,0.94759,0.494161,0,0,0,512,mg N/L,Ammonia 2,1658194011,7/18/2022 21:26
QCPRORESULT,AUTO SPIKE,90.483147,1658194011,,,,,,,,,,,
QCPRODECISION,IN,1658194011,,,,,,,,,,,,
RESULT,6,U2,MSM_UP_LysC_10cm,14,0.568162,0.352609,0,0,0,512,mg N/L,Ammonia 2,1658194171,7/18/2022 21:29
RESULT,7,U3,MSM_UP_LysA_20cm,15,1.795753,1.092427,0,0,0,512,mg N/L,Ammonia 2,1658194331,7/18/2022 21:32
RESULT,7,C13,Duplicate,16,1.848793,1.124393,0,0,0,512,mg N/L,Ammonia 2,1658194491,7/18/2022 21:34
QCPRORESULT,DUPLICATE,2.910671,1658194491,,,,,,,,,,,
QCPRODECISION,IN,1658194491,,,,,,,,,,,,
RESULT,7,C14,Auto Spike,17,2.096535,1.08096,0,0,0,512,mg N/L,Ammonia 2,1658194651,7/18/2022 21:37
QCPRORESULT,AUTO SPIKE,30.078182,1658194651,,,,,,,,,,,
QCPRODECISION,OUT,1658194651,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658194651,,,,,,,,,,,,
RESULT,8,U4,MSM_UP_LysB_20cm,18,0.588825,0.365062,0,0,0,512,mg N/L,Ammonia 2,1658194811,7/18/2022 21:40
RESULT,9,U5,MSM_UP_LysC_20cm,19,1.999664,1.215316,0,0,0,531,mg N/L,Ammonia 2,1658194971,7/18/2022 21:42
AUTODILUTION,APPROVED,1658194971,,,,,,,,,,,,
AUTODILUTION,ADDED,1658194971,,,,,,,,,,,,
RESULT,10,U6,MSM_UP_LysA_45cm,20,1.148694,0.702472,0,0,0,512,mg N/L,Ammonia 2,1658195131,7/18/2022 21:45
RESULT,10,C13,Duplicate,21,1.197833,0.732085,0,0,0,512,mg N/L,Ammonia 2,1658195291,7/18/2022 21:48
QCPRORESULT,DUPLICATE,4.188173,1658195291,,,,,,,,,,,
QCPRODECISION,IN,1658195291,,,,,,,,,,,,
RESULT,10,C14,Auto Spike,22,1.394936,0.722633,0,0,0,512,mg N/L,Ammonia 2,1658195451,7/18/2022 21:50
QCPRORESULT,AUTO SPIKE,24.62413,1658195451,,,,,,,,,,,
QCPRODECISION,OUT,1658195451,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658195451,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,23,0.950473,0.583012,0,0,0,512,mg N/L,Ammonia 2,1658195611,7/18/2022 21:53
QCPRORESULT,NORMAL,0,1658195611,,,,,,,,,,,
QCPRODECISION,IN,1658195611,,,,,,,,,,,,
RESULT,-3,C12,Blank,24,-0.003813,0.007903,0,0,0,512,mg N/L,Ammonia 2,1658195771,7/18/2022 21:56
QCPRORESULT,NORMAL,0,1658195771,,,,,,,,,,,
QCPRODECISION,IN,1658195771,,,,,,,,,,,,
RESULT,11,U7,MSM_UP_LysB_45cm,25,0.911524,0.559539,0,0,0,512,mg N/L,Ammonia 2,1658195931,7/18/2022 21:58
RESULT,12,U8,MSM_UP_LysC_45cm,26,1.938948,1.178725,0,0,0,512,mg N/L,Ammonia 2,1658196091,7/18/2022 22:01
RESULT,13,U9,MSM_TR_LysA_10cm,27,0.150462,0.100878,0,0,0,512,mg N/L,Ammonia 2,1658196251,7/18/2022 22:04
RESULT,13,C13,Duplicate,28,0.128087,0.087394,0,0,0,512,mg N/L,Ammonia 2,1658196411,7/18/2022 22:06
QCPRORESULT,DUPLICATE,16.065552,1658196411,,,,,,,,,,,
QCPRODECISION,OUT,1658196411,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658196411,,,,,,,,,,,,
RESULT,13,C14,Auto Spike,29,0.789369,0.413354,0,0,0,512,mg N/L,Ammonia 2,1658196571,7/18/2022 22:09
QCPRORESULT,AUTO SPIKE,63.890667,1658196571,,,,,,,,,,,
QCPRODECISION,IN,1658196571,,,,,,,,,,,,
RESULT,14,U10,MSM_TR_LysB_10cm,30,0.256667,0.164883,0,0,0,512,mg N/L,Ammonia 2,1658196731,7/18/2022 22:12
RESULT,15,U11,MSM_TR_LysC_10cm,31,0.290586,0.185325,0,0,0,512,mg N/L,Ammonia 2,1658196891,7/18/2022 22:14
RESULT,16,U12,MSM_TR_LysA_20cm,32,1.562254,0.951707,0,0,0,512,mg N/L,Ammonia 2,1658197051,7/18/2022 22:17
RESULT,16,C13,Duplicate,33,1.65887,1.009933,0,0,0,512,mg N/L,Ammonia 2,1658197211,7/18/2022 22:20
QCPRORESULT,DUPLICATE,5.998857,1658197211,,,,,,,,,,,
QCPRODECISION,IN,1658197211,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,34,1.985693,1.024349,0,0,0,512,mg N/L,Ammonia 2,1658197371,7/18/2022 22:22
QCPRORESULT,AUTO SPIKE,42.343815,1658197371,,,,,,,,,,,
QCPRODECISION,OUT,1658197371,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658197371,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,35,0.917012,0.562847,0,0,0,512,mg N/L,Ammonia 2,1658197531,7/18/2022 22:25
QCPRORESULT,NORMAL,0,1658197531,,,,,,,,,,,
QCPRODECISION,IN,1658197531,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658197629,,,,,,,,,,,,
RUNENDED,1658197642,COMPLETE,,,,,,,,,,,,
RUNSTARTED,1658197721,7/18/2022 22:28,,,,,,,,,,,,
RESULT,-3,C12,Blank,36,-0.001863,0.009078,0,0,0,512,mg N/L,Ammonia 2,1658198906,7/18/2022 22:48
QCPRORESULT,NORMAL,0,1658198906,,,,,,,,,,,
QCPRODECISION,IN,1658198906,,,,,,,,,,,,
RESULT,17,U13,MSM_TR_LysB_20cm,37,0.685748,0.423473,0,0,0,512,mg N/L,Ammonia 2,1658199066,7/18/2022 22:51
RESULT,18,U14,MSM_TR_LysC_20cm,38,1.510231,0.920355,0,0,0,512,mg N/L,Ammonia 2,1658199226,7/18/2022 22:53
RESULT,19,U15,MSM_TR_LysA_45cm,39,0.842411,0.517887,0,0,0,512,mg N/L,Ammonia 2,1658199386,7/18/2022 22:56
RESULT,19,C13,Duplicate,40,0.861907,0.529637,0,0,0,512,mg N/L,Ammonia 2,1658199546,7/18/2022 22:59
QCPRORESULT,DUPLICATE,2.287804,1658199546,,,,,,,,,,,
QCPRODECISION,IN,1658199546,,,,,,,,,,,,
RESULT,19,C14,Auto Spike,41,1.29369,0.670924,0,0,0,512,mg N/L,Ammonia 2,1658199706,7/18/2022 23:01
QCPRORESULT,AUTO SPIKE,45.127838,1658199706,,,,,,,,,,,
QCPRODECISION,OUT,1658199706,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658199706,,,,,,,,,,,,
RESULT,20,U16,MSM_TR_LysB_45cm,42,1.654087,1.007051,0,0,0,512,mg N/L,Ammonia 2,1658199866,7/18/2022 23:04
RESULT,21,U17,MSM_TR_LysC_45cm,43,1.521265,0.927005,0,0,0,512,mg N/L,Ammonia 2,1658200026,7/18/2022 23:07
RESULT,22,U18,MSM_WC_SipA_10cm,44,0.05031,0.04052,0,0,0,512,mg N/L,Ammonia 2,1658200186,7/18/2022 23:09
RESULT,22,C13,Duplicate,45,0.050118,0.040405,0,0,0,512,mg N/L,Ammonia 2,1658200346,7/18/2022 23:12
QCPRORESULT,DUPLICATE,0.381223,1658200346,,,,,,,,,,,
QCPRODECISION,IN,1658200346,,,,,,,,,,,,
RESULT,22,C14,Auto Spike,46,1.10712,0.575638,0,0,0,512,mg N/L,Ammonia 2,1658200506,7/18/2022 23:15
QCPRORESULT,AUTO SPIKE,105.680969,1658200506,,,,,,,,,,,
QCPRODECISION,IN,1658200506,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,47,0.92134,0.565455,0,0,0,512,mg N/L,Ammonia 2,1658200666,7/18/2022 23:17
QCPRORESULT,NORMAL,0,1658200666,,,,,,,,,,,
QCPRODECISION,IN,1658200666,,,,,,,,,,,,
RESULT,-3,C12,Blank,48,-0.002587,0.008642,0,0,0,512,mg N/L,Ammonia 2,1658200826,7/18/2022 23:20
QCPRORESULT,NORMAL,0,1658200826,,,,,,,,,,,
QCPRODECISION,IN,1658200826,,,,,,,,,,,,
RESULT,23,U19,MSM_WC_SipB_10cm,49,0.208089,0.135607,0,0,0,512,mg N/L,Ammonia 2,1658200986,7/18/2022 23:23
RESULT,24,U20,MSM_WC_SipC_10cm,50,0.285155,0.182052,0,0,0,512,mg N/L,Ammonia 2,1658201146,7/18/2022 23:25
RESULT,25,U21,MSM_WC_SipA_20cm,51,0.145206,0.09771,0,0,0,512,mg N/L,Ammonia 2,1658201306,7/18/2022 23:28
RESULT,25,C13,Duplicate,52,0.16121,0.107356,0,0,0,512,mg N/L,Ammonia 2,1658201466,7/18/2022 23:31
QCPRORESULT,DUPLICATE,10.446236,1658201466,,,,,,,,,,,
QCPRODECISION,OUT,1658201466,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658201466,,,,,,,,,,,,
RESULT,25,C14,Auto Spike,53,1.163196,0.604278,0,0,0,512,mg N/L,Ammonia 2,1658201626,7/18/2022 23:33
QCPRORESULT,AUTO SPIKE,101.799026,1658201626,,,,,,,,,,,
QCPRODECISION,IN,1658201626,,,,,,,,,,,,
RESULT,26,U22,MSM_WC_SipB_20cm,54,0.345443,0.218385,0,0,0,512,mg N/L,Ammonia 2,1658201786,7/18/2022 23:36
RESULT,27,U23,MSM_WC_SipC_20cm,55,0.967096,0.59303,0,0,0,512,mg N/L,Ammonia 2,1658201946,7/18/2022 23:39
RESULT,28,U24,MSM_WC_SipC_45cm,56,1.981822,1.204563,0,0,0,512,mg N/L,Ammonia 2,1658202106,7/18/2022 23:41
RESULT,28,C13,Duplicate,57,2.027232,1.23193,0,0,0,512,mg N/L,Ammonia 2,1658202266,7/18/2022 23:44
QCPRORESULT,DUPLICATE,2.26538,1658202266,,,,,,,,,,,
QCPRODECISION,IN,1658202266,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658202267,,,,,,,,,,,,
AUTODILUTION,ADDED,1658202267,,,,,,,,,,,,
RESULT,28,C14,Auto Spike,58,3.174987,1.631755,0,0,0,512,mg N/L,Ammonia 2,1658202426,7/18/2022 23:47
QCPRORESULT,AUTO SPIKE,119.316521,1658202426,,,,,,,,,,,
QCPRODECISION,IN,1658202426,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658202428,,,,,,,,,,,,
AUTODILUTION,ADDED,1658202428,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,59,0.910003,0.558623,0,0,0,512,mg N/L,Ammonia 2,1658202587,7/18/2022 23:49
QCPRORESULT,NORMAL,0,1658202587,,,,,,,,,,,
QCPRODECISION,IN,1658202587,,,,,,,,,,,,
RESULT,-3,C12,Blank,60,-0.003225,0.008257,0,0,0,512,mg N/L,Ammonia 2,1658202747,7/18/2022 23:52
QCPRORESULT,NORMAL,0,1658202747,,,,,,,,,,,
QCPRODECISION,IN,1658202747,,,,,,,,,,,,
RESULT,29,U25,MSM_UP_RHZ_SF_1,61,0.051987,0.041531,0,0,0,512,mg N/L,Ammonia 2,1658202907,7/18/2022 23:55
RESULT,30,U26,MSM_UP_RHZ_SF_2,62,0.053031,0.04216,0,0,0,512,mg N/L,Ammonia 2,1658203067,7/18/2022 23:57
RESULT,31,U27,MSM_UP_RHZ_SF_3,63,0.057469,0.044835,0,0,0,512,mg N/L,Ammonia 2,1658203227,7/19/2022 0:00
RESULT,32,U28,MSM_UP_RHZ_SF_4,64,0.063748,0.048619,0,0,0,512,mg N/L,Ammonia 2,1658203387,7/19/2022 0:03
RESULT,33,U29,MSM_UP_RHZ_SF_5,65,0.041657,0.035306,0,0,0,512,mg N/L,Ammonia 2,1658203547,7/19/2022 0:05
RESULT,34,U30,MSM_UP_RHZ_SF_6,66,0.064,0.048771,0,0,0,512,mg N/L,Ammonia 2,1658203707,7/19/2022 0:08
