RUNSTARTED,1652457973,5/13/2022 12:06,,,Conc,abs.,,dilution,,,,,,
RESULT,-1,S1,Standard 1,0,0.010914,0.010914,0,0,0,0,mg N/L,Ammonia 2,1652459189,5/13/2022 12:26
RESULT,-2,S90,Standard .0389,1,0.033695,0.033695,0,0,0,0,mg N/L,Ammonia 2,1652459349,5/13/2022 12:29
RESULT,-2,S91,Standard .1000,2,0.065531,0.065531,0,0,0,0,mg N/L,Ammonia 2,1652459509,5/13/2022 12:31
RESULT,-2,S92,Standard .2000,3,0.123799,0.123799,0,0,0,0,mg N/L,Ammonia 2,1652459669,5/13/2022 12:34
RESULT,-2,S93,Standard .5000,4,0.273219,0.273219,0,0,0,0,mg N/L,Ammonia 2,1652459829,5/13/2022 12:37
RESULT,-2,S94,Standard 1.0000,5,0.537588,0.537588,0,0,0,0,mg N/L,Ammonia 2,1652459989,5/13/2022 12:39
RESULT,-2,S95,Standard 1.5000,6,0.791992,0.791992,0,0,0,0,mg N/L,Ammonia 2,1652460149,5/13/2022 12:42
RESULT,-2,S96,Standard 2.0000,7,1.043276,1.043276,0,0,0,0,mg N/L,Ammonia 2,1652460309,5/13/2022 12:45
RESULT,-1,S0,Standard 0,8,0.009439,0.009439,0,0,0,0,mg N/L,Ammonia 2,1652460469,5/13/2022 12:47
CALIBRATION,Ammonia 2,1652460469,5/13/2022 12:47,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,9,1.035413,0.550033,0,0,0,0,mg N/L,Ammonia 2,1652460629,5/13/2022 12:50
QCPRORESULT,NORMAL,0,1652460629,,,,,,,,,,,
QCPRODECISION,IN,1652460629,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,-0.01018,0.010176,0,0,0,0,mg N/L,Ammonia 2,1652460789,5/13/2022 12:53
QCPRORESULT,NORMAL,0,1652460789,,,,,,,,,,,
QCPRODECISION,IN,1652460789,,,,,,,,,,,,
RESULT,5,U1,MSM_WC_PW_MonMon_20220502_SipA_10cm,11,0.135591,0.08544,0,0,0,0,mg N/L,Ammonia 2,1652460949,5/13/2022 12:55
RESULT,5,C14,Auto Spike,12,1.25366,0.563979,0,0,0,0,mg N/L,Ammonia 2,1652461109,5/13/2022 12:58
