RUNSTARTED,1655221488,6/14/2022 11:44,,,Conc,Abs,,Dil,,,,,,
RESULT,-1,S1,Standard 1,0,0.006822,0.006822,0,0,0,0,mg N/L,Ammonia 2,1655315545,6/15/2022 13:52
RESULT,-2,S90,Standard .0389,1,0.029314,0.029314,0,0,0,0,mg N/L,Ammonia 2,1655315705,6/15/2022 13:55
RESULT,-2,S91,Standard .1000,2,0.063427,0.063427,0,0,0,0,mg N/L,Ammonia 2,1655315865,6/15/2022 13:57
RESULT,-2,S92,Standard .2000,3,0.12282,0.12282,0,0,0,0,mg N/L,Ammonia 2,1655316025,6/15/2022 14:00
RESULT,-2,S93,Standard .5000,4,0.297338,0.297338,0,0,0,0,mg N/L,Ammonia 2,1655316185,6/15/2022 14:03
RESULT,-2,S94,Standard 1.0000,5,0.585606,0.585606,0,0,0,0,mg N/L,Ammonia 2,1655316345,6/15/2022 14:05
RESULT,-2,S95,Standard 1.5000,6,0.877223,0.877223,0,0,0,0,mg N/L,Ammonia 2,1655316505,6/15/2022 14:08
RESULT,-2,S96,Standard 2.0000,7,1.183368,1.183368,0,0,0,0,mg N/L,Ammonia 2,1655316665,6/15/2022 14:11
RESULT,-1,S0,Standard 0,8,0.006621,0.006621,0,0,0,0,mg N/L,Ammonia 2,1655316825,6/15/2022 14:13
CALIBRATION,Ammonia 2,1655316825,6/15/2022 14:13,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,9,0.970389,0.573223,0,0,0,0,mg N/L,Ammonia 2,1655316985,6/15/2022 14:16
QCPRORESULT,NORMAL,0,1655316985,,,,,,,,,,,
QCPRODECISION,IN,1655316985,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,0.002474,0.006317,0,0,0,0,mg N/L,Ammonia 2,1655317145,6/15/2022 14:19
QCPRORESULT,NORMAL,0,1655317145,,,,,,,,,,,
QCPRODECISION,IN,1655317145,,,,,,,,,,,,
RESULT,5,U1,GCrew_UP_LysB_10cm,11,0.063795,0.042232,0,0,0,0,mg N/L,Ammonia 2,1655317305,6/15/2022 14:21
RESULT,5,C13,Duplicate,12,0.061252,0.040743,0,0,0,0,mg N/L,Ammonia 2,1655317465,6/15/2022 14:24
QCPRORESULT,DUPLICATE,4.066491,1655317465,,,,,,,,,,,
QCPRODECISION,IN,1655317465,,,,,,,,,,,,
RESULT,5,C14,Auto Spike,13,1.033781,0.517989,0,0,0,0,mg N/L,Ammonia 2,1655317625,6/15/2022 14:27
QCPRORESULT,AUTO SPIKE,96.998619,1655317625,,,,,,,,,,,
QCPRODECISION,IN,1655317625,,,,,,,,,,,,
RESULT,6,U2,GCrew_UP_LysA_20cm,14,0.858114,0.507464,0,0,0,0,mg N/L,Ammonia 2,1655317785,6/15/2022 14:29
RESULT,6,C13,Duplicate,15,0.867662,0.513056,0,0,0,0,mg N/L,Ammonia 2,1655317945,6/15/2022 14:32
QCPRORESULT,DUPLICATE,1.106483,1655317945,,,,,,,,,,,
QCPRODECISION,IN,1655317945,,,,,,,,,,,,
RESULT,6,C14,Auto Spike,16,1.909718,0.952764,0,0,0,0,mg N/L,Ammonia 2,1655318105,6/15/2022 14:35
QCPRORESULT,AUTO SPIKE,105.160378,1655318105,,,,,,,,,,,
QCPRODECISION,IN,1655318105,,,,,,,,,,,,
RESULT,7,U3,GCrew_UP_LysB_20cm,17,0.048782,0.03344,0,0,0,0,mg N/L,Ammonia 2,1655318265,6/15/2022 14:37
RESULT,7,C13,Duplicate,18,0.048072,0.033024,0,0,0,0,mg N/L,Ammonia 2,1655318425,6/15/2022 14:40
QCPRORESULT,DUPLICATE,1.466174,1655318425,,,,,,,,,,,
QCPRODECISION,IN,1655318425,,,,,,,,,,,,
RESULT,7,C14,Auto Spike,19,1.106866,0.554265,0,0,0,0,mg N/L,Ammonia 2,1655318585,6/15/2022 14:43
QCPRORESULT,AUTO SPIKE,105.808311,1655318585,,,,,,,,,,,
QCPRODECISION,IN,1655318585,,,,,,,,,,,,
RESULT,8,U4,GCrew_TR_LysA_10cm,20,0.368399,0.220638,0,0,0,0,mg N/L,Ammonia 2,1655318745,6/15/2022 14:45
RESULT,-3,C11,1mg/L ammonia,21,0.980531,0.579163,0,0,0,0,mg N/L,Ammonia 2,1655318905,6/15/2022 14:48
QCPRORESULT,NORMAL,0,1655318905,,,,,,,,,,,
QCPRODECISION,IN,1655318905,,,,,,,,,,,,
RESULT,-3,C12,Blank,22,0.001384,0.005678,0,0,0,0,mg N/L,Ammonia 2,1655319065,6/15/2022 14:51
QCPRORESULT,NORMAL,0,1655319065,,,,,,,,,,,
QCPRODECISION,IN,1655319065,,,,,,,,,,,,
RESULT,9,U5,GCrew_TR_LysB_10cm,23,1.170921,0.690674,0,0,0,0,mg N/L,Ammonia 2,1655319225,6/15/2022 14:53
RESULT,10,U6,GCrew_TR_LysC_10cm,24,0.314571,0.189112,0,0,0,0,mg N/L,Ammonia 2,1655319385,6/15/2022 14:56
RESULT,10,C13,Duplicate,25,0.32739,0.19662,0,0,0,0,mg N/L,Ammonia 2,1655319545,6/15/2022 14:59
QCPRORESULT,DUPLICATE,3.993623,1655319545,,,,,,,,,,,
QCPRODECISION,IN,1655319545,,,,,,,,,,,,
RESULT,10,C14,Auto Spike,26,1.280141,0.640271,0,0,0,0,mg N/L,Ammonia 2,1655319705,6/15/2022 15:01
QCPRORESULT,AUTO SPIKE,96.556999,1655319705,,,,,,,,,,,
QCPRODECISION,IN,1655319705,,,,,,,,,,,,
RESULT,11,U7,GCrew_TR_LysA_20cm,27,0.252957,0.153024,0,0,0,0,mg N/L,Ammonia 2,1655319865,6/15/2022 15:04
RESULT,12,U8,GCrew_TR_LysB_20cm,28,0.752796,0.445779,0,0,0,0,mg N/L,Ammonia 2,1655320025,6/15/2022 15:07
RESULT,13,U9,GCrew_TR_LysC_20cm,29,0.275127,0.166009,0,0,0,0,mg N/L,Ammonia 2,1655320185,6/15/2022 15:09
RESULT,13,C13,Duplicate,30,0.282346,0.170237,0,0,0,0,mg N/L,Ammonia 2,1655320345,6/15/2022 15:12
QCPRORESULT,DUPLICATE,2.590036,1655320345,,,,,,,,,,,
QCPRODECISION,IN,1655320345,,,,,,,,,,,,
RESULT,13,C14,Auto Spike,31,1.287167,0.643759,0,0,0,0,mg N/L,Ammonia 2,1655320505,6/15/2022 15:15
QCPRORESULT,AUTO SPIKE,101.204041,1655320505,,,,,,,,,,,
QCPRODECISION,IN,1655320505,,,,,,,,,,,,
