RUNSTARTED,1655221488,6/14/2022 11:44,,,Conc,Abs,,Dil,,,,,,
RESULT,-1,S1,Standard 1,0,0.007059,0.007059,0,0,0,512,mg N/L,Ammonia 2,1655241586,6/14/2022 17:19
RESULT,-2,S90,Standard .0389,1,0.028945,0.028945,0,0,0,512,mg N/L,Ammonia 2,1655241746,6/14/2022 17:22
RESULT,-2,S91,Standard .1000,2,0.062415,0.062415,0,0,0,512,mg N/L,Ammonia 2,1655241906,6/14/2022 17:25
RESULT,-2,S92,Standard .2000,3,0.122412,0.122412,0,0,0,512,mg N/L,Ammonia 2,1655242066,6/14/2022 17:27
RESULT,-2,S93,Standard .5000,4,0.288107,0.288107,0,0,0,512,mg N/L,Ammonia 2,1655242226,6/14/2022 17:30
RESULT,-2,S94,Standard 1.0000,5,0.596654,0.596654,0,0,0,512,mg N/L,Ammonia 2,1655242386,6/14/2022 17:33
RESULT,-2,S95,Standard 1.5000,6,0.876867,0.876867,0,0,0,512,mg N/L,Ammonia 2,1655242546,6/14/2022 17:35
RESULT,-2,S96,Standard 2.0000,7,1.155769,1.155769,0,0,0,512,mg N/L,Ammonia 2,1655242706,6/14/2022 17:38
RESULT,-1,S0,Standard 0,8,0.007425,0.007425,0,0,0,512,mg N/L,Ammonia 2,1655242866,6/14/2022 17:41
CALIBRATION,Ammonia 2,1655242866,6/14/2022 17:41,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,9,1.000375,0.584734,0,0,0,512,mg N/L,Ammonia 2,1655243026,6/14/2022 17:43
QCPRORESULT,NORMAL,0,1655243026,,,,,,,,,,,
QCPRODECISION,IN,1655243026,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,0.002352,0.007956,0,0,0,512,mg N/L,Ammonia 2,1655243186,6/14/2022 17:46
QCPRORESULT,NORMAL,0,1655243186,,,,,,,,,,,
QCPRODECISION,IN,1655243186,,,,,,,,,,,,
RESULT,5,U1,MSM_UP_LysB_10cm,11,0.11554,0.073369,0,0,0,512,mg N/L,Ammonia 2,1655243346,6/14/2022 17:49
RESULT,5,C14,Auto Spike,12,1.015286,0.503847,0,0,0,512,mg N/L,Ammonia 2,1655243506,6/14/2022 17:51
QCPRORESULT,AUTO SPIKE,89.974648,1655243506,,,,,,,,,,,
QCPRODECISION,IN,1655243506,,,,,,,,,,,,
RESULT,6,U2,MSM_UP_LysC_10cm,13,0.862642,0.505136,0,0,0,512,mg N/L,Ammonia 2,1655243666,6/14/2022 17:54
RESULT,6,C14,Auto Spike,14,1.433111,0.708482,0,0,0,512,mg N/L,Ammonia 2,1655243826,6/14/2022 17:57
QCPRORESULT,AUTO SPIKE,57.046894,1655243826,,,,,,,,,,,
QCPRODECISION,IN,1655243826,,,,,,,,,,,,
RESULT,7,U3,MSM_UP_LysA_20cm,15,1.880653,1.093465,0,0,0,512,mg N/L,Ammonia 2,1655243986,6/14/2022 17:59
RESULT,7,C14,Auto Spike,16,2.595775,1.277912,0,0,0,512,mg N/L,Ammonia 2,1655244146,6/14/2022 18:02
QCPRORESULT,AUTO SPIKE,71.512199,1655244146,,,,,,,,,,,
QCPRODECISION,IN,1655244146,,,,,,,,,,,,
AUTODILUTION,APPROVED,1655244146,,,,,,,,,,,,
AUTODILUTION,ADDED,1655244146,,,,,,,,,,,,
RESULT,8,U4,MSM_UP_LysB_20cm,17,0.478298,0.283015,0,0,0,512,mg N/L,Ammonia 2,1655244306,6/14/2022 18:05
RESULT,8,C14,Auto Spike,18,1.075881,0.533524,0,0,0,512,mg N/L,Ammonia 2,1655244466,6/14/2022 18:07
QCPRORESULT,AUTO SPIKE,59.758339,1655244466,,,,,,,,,,,
QCPRODECISION,IN,1655244466,,,,,,,,,,,,
RESULT,9,U5,MSM_UP_LysC_20cm,19,2.220213,1.289704,0,0,0,531,mg N/L,Ammonia 2,1655244626,6/14/2022 18:10
AUTODILUTION,APPROVED,1655244626,,,,,,,,,,,,
AUTODILUTION,ADDED,1655244626,,,,,,,,,,,,
RESULT,9,C14,Auto Spike,20,2.903825,1.428784,0,0,0,512,mg N/L,Ammonia 2,1655244786,6/14/2022 18:13
QCPRORESULT,AUTO SPIKE,68.361229,1655244786,,,,,,,,,,,
QCPRODECISION,IN,1655244786,,,,,,,,,,,,
AUTODILUTION,APPROVED,1655244786,,,,,,,,,,,,
AUTODILUTION,ADDED,1655244786,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,21,1.033577,0.603923,0,0,0,512,mg N/L,Ammonia 2,1655244946,6/14/2022 18:15
QCPRORESULT,NORMAL,0,1655244946,,,,,,,,,,,
QCPRODECISION,IN,1655244946,,,,,,,,,,,,
RESULT,-3,C12,Blank,22,0.003001,0.008331,0,0,0,512,mg N/L,Ammonia 2,1655245106,6/14/2022 18:18
QCPRORESULT,NORMAL,0,1655245106,,,,,,,,,,,
QCPRODECISION,IN,1655245106,,,,,,,,,,,,
RESULT,10,U6,MSM_UP_LysA_45cm,23,1.00396,0.586806,0,0,0,512,mg N/L,Ammonia 2,1655245266,6/14/2022 18:21
RESULT,11,U7,MSM_UP_LysB_45cm,24,0.814513,0.47732,0,0,0,512,mg N/L,Ammonia 2,1655245426,6/14/2022 18:23
RESULT,12,U8,MSM_UP_LysC_45cm,25,1.050826,0.613891,0,0,0,512,mg N/L,Ammonia 2,1655245586,6/14/2022 18:26
RESULT,12,C13,Duplicate,26,1.173675,0.684888,0,0,0,512,mg N/L,Ammonia 2,1655245746,6/14/2022 18:29
QCPRORESULT,DUPLICATE,11.045116,1655245746,,,,,,,,,,,
QCPRODECISION,OUT,1655245746,,,,,,,,,,,,
QCPROACTION,CONTINUE,1655245746,,,,,,,,,,,,
