RUNSTARTED,1658165226,7/18/2022 13:27,,,Conc,Abs,,Dilution,,,,,,
QCPROACTION,CONTINUE,1658165413,,,,,,,,,,,,
RUNENDED,1658165413,COMPLETE,,,,,,,,,,,,
RUNSTARTED,1658165922,7/18/2022 13:38,,,,,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.006887,0.006887,0,0,0,0,mg N/L,Ammonia 2,1658167154,7/18/2022 13:59
RESULT,-2,S90,Standard .0389,1,0.03206,0.03206,0,0,0,0,mg N/L,Ammonia 2,1658167314,7/18/2022 14:01
RESULT,-2,S91,Standard .1000,2,0.065922,0.065922,0,0,0,0,mg N/L,Ammonia 2,1658167474,7/18/2022 14:04
RESULT,-2,S92,Standard .2000,3,0.130039,0.130039,0,0,0,0,mg N/L,Ammonia 2,1658167634,7/18/2022 14:07
RESULT,-2,S93,Standard .5000,4,0.3005,0.3005,0,0,0,0,mg N/L,Ammonia 2,1658167794,7/18/2022 14:09
RESULT,-2,S94,Standard 1.0000,5,0.618677,0.618677,0,0,0,0,mg N/L,Ammonia 2,1658167954,7/18/2022 14:12
RESULT,-2,S95,Standard 1.5000,6,0.86035,0.86035,0,0,0,0,mg N/L,Ammonia 2,1658168114,7/18/2022 14:15
RESULT,-2,S96,Standard 2.0000,7,1.190554,1.190554,0,0,0,0,mg N/L,Ammonia 2,1658168274,7/18/2022 14:17
RESULT,-1,S0,Standard 0,8,0.007241,0.007241,0,0,0,0,mg N/L,Ammonia 2,1658168434,7/18/2022 14:20
CALIBRATION,Ammonia 2,1658168434,7/18/2022 14:20,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,9,0.98673,0.587633,0,0,0,0,mg N/L,Ammonia 2,1658168594,7/18/2022 14:23
QCPRORESULT,NORMAL,0,1658168594,,,,,,,,,,,
QCPRODECISION,IN,1658168594,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,-0.003829,0.007604,0,0,0,0,mg N/L,Ammonia 2,1658168754,7/18/2022 14:25
QCPRORESULT,NORMAL,0,1658168754,,,,,,,,,,,
QCPRODECISION,IN,1658168754,,,,,,,,,,,,
RESULT,5,U1,GCrew_UP_LysB_10cm,11,0.064608,0.047677,0,0,0,0,mg N/L,Ammonia 2,1658168914,7/18/2022 14:28
RESULT,5,C14,Auto Spike,12,1.099341,0.555377,0,0,0,0,mg N/L,Ammonia 2,1658169074,7/18/2022 14:31
QCPRORESULT,AUTO SPIKE,103.473282,1658169074,,,,,,,,,,,
QCPRODECISION,IN,1658169074,,,,,,,,,,,,
RESULT,6,U2,GCrew_UP_LysA_20cm,13,0.039938,0.033231,0,0,0,0,mg N/L,Ammonia 2,1658169234,7/18/2022 14:33
RESULT,6,C13,Duplicate,14,0.040031,0.033286,0,0,0,0,mg N/L,Ammonia 2,1658169394,7/18/2022 14:36
QCPRORESULT,DUPLICATE,0.2324,1658169394,,,,,,,,,,,
QCPRODECISION,IN,1658169394,,,,,,,,,,,,
RESULT,6,C14,Auto Spike,15,1.088981,0.550236,0,0,0,0,mg N/L,Ammonia 2,1658169554,7/18/2022 14:39
QCPRORESULT,AUTO SPIKE,104.904312,1658169554,,,,,,,,,,,
QCPRODECISION,IN,1658169554,,,,,,,,,,,,
RESULT,7,U3,GCrew_UP_LysB_20cm,16,0.032877,0.029097,0,0,0,0,mg N/L,Ammonia 2,1658169714,7/18/2022 14:41
RESULT,7,C14,Auto Spike,17,1.142339,0.576714,0,0,0,0,mg N/L,Ammonia 2,1658169874,7/18/2022 14:44
QCPRORESULT,AUTO SPIKE,110.94622,1658169874,,,,,,,,,,,
QCPRODECISION,IN,1658169874,,,,,,,,,,,,
RESULT,8,U4,GCrew_TR_LysB_10cm,18,1.393605,0.825881,0,0,0,0,mg N/L,Ammonia 2,1658170034,7/18/2022 14:47
RESULT,9,U5,GCrew_TR_LysC_10cm,19,0.042944,0.034992,0,0,0,0,mg N/L,Ammonia 2,1658170194,7/18/2022 14:49
RESULT,9,C13,Duplicate,20,0.039921,0.033222,0,0,0,0,mg N/L,Ammonia 2,1658170354,7/18/2022 14:52
QCPRORESULT,DUPLICATE,7.29572,1658170354,,,,,,,,,,,
QCPRODECISION,IN,1658170354,,,,,,,,,,,,
RESULT,9,C14,Auto Spike,21,1.061044,0.536373,0,0,0,0,mg N/L,Ammonia 2,1658170514,7/18/2022 14:55
QCPRORESULT,AUTO SPIKE,101.809982,1658170514,,,,,,,,,,,
QCPRODECISION,IN,1658170514,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,22,0.950855,0.566626,0,0,0,0,mg N/L,Ammonia 2,1658170674,7/18/2022 14:57
QCPRORESULT,NORMAL,0,1658170674,,,,,,,,,,,
QCPRODECISION,IN,1658170674,,,,,,,,,,,,
RESULT,-3,C12,Blank,23,-0.003598,0.007739,0,0,0,0,mg N/L,Ammonia 2,1658170834,7/18/2022 15:00
QCPRORESULT,NORMAL,0,1658170834,,,,,,,,,,,
QCPRODECISION,IN,1658170834,,,,,,,,,,,,
RESULT,10,U6,GCrew_TR_LysA_20cm,24,0.306868,0.189534,0,0,0,0,mg N/L,Ammonia 2,1658170994,7/18/2022 15:03
RESULT,10,C13,Duplicate,25,0.31361,0.193482,0,0,0,0,mg N/L,Ammonia 2,1658171154,7/18/2022 15:05
QCPRORESULT,DUPLICATE,2.173424,1658171154,,,,,,,,,,,
QCPRODECISION,IN,1658171154,,,,,,,,,,,,
RESULT,10,C14,Auto Spike,26,1.380226,0.694762,0,0,0,0,mg N/L,Ammonia 2,1658171314,7/18/2022 15:08
