"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_Conc_flag","H2S_QAQC_flag","Dilution","H2S_cv_flag","Site","Date","Zone","Replicate","Depth","Sample_ID"
"1","38",3.1038286413877,0.887172407440241,28.5831632458805,"Within_Range",NA,1,"High CV","MSM",202505,"TR","LysB","20cm","MSM_202505_TR_LYSB_20CM"
"2","46",593.832428589115,83.1724131975226,14.0060409626217,"Within_Range",NA,25,"High CV","MSM",202505,"WC","LysB","20cm","MSM_202505_WC_LYSB_20CM"
"3","54",2.54149472523777,0.927075124766104,36.4775545492966,"Within_Range","Std curve r2 low; MC 10 out of range",1,"High CV","GWI",202505,"UP","LysA","20cm","GWI_202505_UP_LYSA_20CM"
"4","66",1.5997580697169,0.344270248542011,21.5201445180354,"Within_Range","Chk Std 4 out of range; MC 10 out of range",1,"High CV","GWI",202505,"TR","LysC","20cm","GWI_202505_TR_LYSC_20CM"
"5","88",0.219663223848458,0.0731276020041713,33.2907806427446,"Within_Range","Chk Std 0 out of range",1,"High CV","SWH",202505,"SWAMP","LysA","45cm","SWH_202505_SWAMP_LYSA_45CM"
"6","94",13.8708453668804,1.97444525411262,14.2344983444703,"Within_Range","Chk Std 0 out of range",1,"High CV","SWH",202505,"SWAMP","LysC","45cm","SWH_202505_SWAMP_LYSC_45CM"
"7","110",13.4659685341213,2.66259882438647,19.7727985004549,"Within_Range","Std curve r2 low",1,"High CV","SWH",202505,"WC","LysC","10cm","SWH_202505_WC_LYSC_10CM"
"8","100",519.385906241265,82.2273166354643,15.8316418769492,"Within_Range","Std curve r2 low",25,"High CV","SWH",202505,"TR","LysB","45cm","SWH_202505_TR_LYSB_45CM"
"9","113",0.0791070867379,0.0679856948049213,85.9413455967271,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"High CV","SWH",202505,"SW","A","0cm","SWH_202505_SW_A"
"10","49",0.896350565681961,0.135971389609843,15.1694431638354,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"High CV","MSM",202505,"WC","LysC","45cm","MSM_202505_WC_LYSC_45CM"
