"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","QAQC_flag","Dilution","H2S_cv_flag","Analysis_rundate"
"1","65 Spike",15.1876334956691,1.01815575544614,6.70384728296531,"Within_Range","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"2","80",13.3157769143209,1.22178690653537,9.17548344641734,"Within_Range","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"3","70",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"4","71",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"5","77",3.95649400757983,0.0678770503630764,1.71558582505213,"Within_Range","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"6","80 Dup",14.3716960114916,2.03631151089228,14.1689019115353,"Within_Range","Std curve r2 low; Chk Std 3 out of range",1,"High CV","20250812"
"7","65",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"8","66",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"9","67",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"10","68",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"11","69",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"12","72",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"13","73",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"14","73 Dup",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"15","74",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"16","74 Spike",15.87558078625,0.827617687267142,5.21314903946033,"Within_Range","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"17","75",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"18","76",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"19","78",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
"20","79",0,0,0,"bdl","Std curve r2 low; Chk Std 3 out of range",1,"Within range","20250812"
