Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.41	0.4944	6.68	0.4404	3.65
6	Standard 2	Calibration Standard	4.407	0.9526	6.72	0.8484	6.95
7	Standard 3	Calibration Standard	4.403	1.9478	6.84	1.7348	13.98
8	Standard 4	Calibration Standard	4.36	9.9966	6.92	8.9036	64.7
9	Standard 5	Calibration Standard	4.327	20.0094	6.92	17.8218	115.1
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_SWH_202511_UP_LysA_10cm	Unknown	4.267	7.8721	1.52	0.1402	0
13	2_SWH_202511_UP_LysA_20cm	Unknown	4.413	3.0869	0.66	0.055	0.45
14	3_SWH_202511_UP_LysA_45cm	Unknown	4.413	1.5042	0.29	0.0268	0.2
15	4_SWH_202511_UP_LysB_10cm	Unknown	4.413	18.101	2.73	0.3224	2.65
16	5_SWH_202511_UP_LysB_20cm	Unknown	4.267	9.8565	1.77	0.1756	0
17	6_SWH_202511_UP_LysB_45cm	Unknown	4.413	1.278	0.26	0.0228	0.18
18	7_SWH_202511_UP_LysC_10cm	Unknown	4.41	64.4674	5.01	1.1484	9.31
19	8_SWH_202511_UP_LysC_20cm	Unknown	4.417	5.1416	0.74	0.0916	0.74
20	9_SWH_202511_UP_LysC_45cm	Unknown	4.4	0.1834	0.04	0.0033	0.03
