,1,2,3,4,5,6,7,8,9,10,11,12
A,0.055,0.055,0.053,0.075,0.079,0.076,0.06,0.062,0.066,0.076,0.076,0.078
B,0.144,0.123,0.146,0.113,0.124,0.108,0.056,0.055,0.056,0.238,0.287,0.309
C,0.21,0.231,0.212,0.058,0.06,0.06,0.064,0.06,0.06,0.062,0.063,0.064
D,0.356,0.357,0.365,0.077,0.078,0.069,0.418,0.37,0.407,0.193,0.283,0.283
E,0.672,0.753,0.667,0.092,0.092,0.095,0.058,0.055,0.064,0.285,0.37,0.231
F,1.052,1.087,1.086,0.058,0.058,0.057,0.054,0.054,0.056,0.057,0.054,0.053
G,0.961,0.907,0.973,0.062,0.062,0.062,0.054,0.056,0.055,0.067,0.06,0.064
H,1.032,1.085,1,0.064,0.066,0.071,0.058,0.057,0.062,0.588,0.574,0.624
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,65,65,65,73,73,73,78,78,78
B,Std 1,Std 1,Std 1,66,66,66,ChkStd 0,ChkStd 0,ChkStd 0,79,79,79
C,Std 2,Std 2,Std 2,67,67,67,73 Dup,73 Dup,73 Dup,80,80,80
D,Std 3,Std 3,Std 3,68,68,68,ChkStd 3,ChkStd 3,ChkStd 3,65 Spike,65 Spike,65 Spike
E,Std 4,Std 4,Std 4,69,69,69,74,74,74,74 Spike,74 Spike,74 Spike
F,Std 5,Std 5,Std 5,70,70,70,75,75,75,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,71,71,71,76,76,76,80 Dup,80 Dup,80 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,72,72,72,77,77,77,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
